,composition,Formation Energy (eV/atom)
177,Ba4AcHg5,-0.59053
178,Ba5AcS6,-2.18212
179,Ba5AcSe6,-2.15287
180,AcBeGe,-0.39902
181,Ac2Be2Pd6,-0.68274
182,AcBeSi,-0.40234
183,AcBi,-0.69611
184,LiAcBi,-0.55931
185,Ac2Bi2O8,-2.079
186,AcBiPd,-0.87857
187,AcBiPt,-0.91146
188,Ac2Bi2Se2,-1.34489
189,Ac2Sn2Bi2,-0.57866
190,Li2Ac2Bi4,-0.61657
191,Ac2Bi4Pd4,-0.64455
192,Ac2Bi4Rh2,-0.54578
193,AcBi3,-0.42633
194,Ac4Hf4Bi12,-0.4056
195,Ac2Mg6Bi6,-0.39607
196,Ac2Bi6S12,-0.81948
197,Ac2Bi6Se12,-0.78979
198,Ac4Ti4Bi12,-0.40837
199,Ac2Ga2Br2,-1.3135
200,Ac2Ir2Br2,-1.2426
201,Ac2Br2N2,-1.51035
202,Ac2Br2O2,-3.07649
203,Ac2Rh2Br2,-1.26032
204,Ac2Si2Br2,-1.26686
205,Ac2Br6,-2.11966
206,Cs3AcBr6,-1.95789
207,Rb6Ac2Br12,-1.92876
208,Ac2C2F2,-2.09548
209,Ac4C4N8,-0.76231
210,AcRh3C,-0.23216
211,AcC2,-0.01849
212,AcCoC2,-0.20262
213,AcNiC2,-0.16853
214,AcRuC2,-0.0905
215,CaAcCdIn,-0.42599
216,CaAcTlCd,-0.40086
217,CaAcZnGa,-0.38703
218,Ca2Ac2Ga6,-0.57681
219,CaAcInHg,-0.50461
220,CaAcTlHg,-0.48646
221,CaAcHg2,-0.54362
222,CaAcZnIn,-0.37836
223,CaAcMgTl,-0.26657
224,CaAcMg4,-0.11092
225,CaAcPd4,-0.7962
226,CaAcPt2,-1.00969
227,CaAcPt4,-0.98976
228,CaAcRh4,-0.50385
229,Ca2Ac2Si6,-0.54588
230,CaAcZn2,-0.27152
231,Ca4Ac2Ir2,-0.34191
232,Ca4Ac2Rh2,-0.3561
233,Ac2Cd2,-0.31406
234,AcEuCdIn,-0.41913
235,AcEuTlCd,-0.38683
236,AcCdHg2,-0.42301
237,Ac2Cd2In2,-0.47525
238,SrAcCdIn,-0.41254
239,Ac6Mg6Cd6,-0.2595
240,Ac2Cd2P2O2,-1.80677
241,Ac4Cd4Pd8,-0.71357
242,Ac4Cd4Pt4,-0.81424
243,AcCdPt4,-0.74493
244,AcCdSn,-0.49224
245,SrAcTlCd,-0.38416
246,Ac2Tl2Cd2,-0.3646
247,AcCd12,-0.12394
248,Ac2Cd4,-0.38298
249,AcEuCd2,-0.35131
250,Ac2Cd4In2,-0.38138
251,Ac4Mg4Cd8,-0.29849
252,Ac2Cd4Ni2,-0.2627
253,Ac2Cd4Pd2,-0.5395
254,AcCd2Pd4,-0.59534
255,Ac2Cd4Pt2,-0.61712
256,AcCd2Pt2,-0.72333
257,Ac2Cd4Rh2,-0.45112
258,AcZn2Cd2,-0.286
259,Ac2Cd6,-0.32564
260,AcMg8Cd4,-0.11228
261,Ac2Cd8Pt4,-0.53102
262,AcZn2Cd4,-0.22891
263,AcMg4Cd8,-0.16395
264,AcCeGa4,-0.65897
265,AcCeIr,-0.56166
266,Ac2Ir2Cl2,-1.40253
267,Ac2N2Cl2,-1.66014
268,Ac2Cl2O2,-3.24927
269,AcSeCl,-2.23402
270,Ac2Cl6,-2.50184
271,Cs3AcCl6,-2.21131
272,Rb6Ac2Cl12,-2.17611
273,Ac2Co2Ge4,-0.57032
274,AcCoGe3,-0.53025
275,AcCoH6,-0.48488
276,Ac2Co2N6,-0.59224
277,Ac2Co2Si2,-0.60405
278,Ac2Ga6Co4,-0.4085
279,AcGa5Co2,-0.4062
280,AcCo2Si2,-0.63632
281,Ac2Cr2P2O2,-1.48597
282,Ac4Cr4O12,-2.48454
283,Ac2Cr2O8,-2.12892
284,CsAcF4,-3.98939
285,CsAcO2,-2.64487
286,CsAcS2,-1.85164
287,Cs2Ac2Tb2Te6,-1.39957
288,CsAcTe2,-1.4514
289,Cs6Ac2I12,-1.57639
290,AcCuF6,-3.06063
291,AcGa6Cu,-0.34135
292,Ac3Cu3Ge3,-0.55632
293,Ac2Cu2I2,-0.76819
294,Ac2In8Cu2,-0.29674
295,Ac2Mg4Cu2,-0.13749
296,Ac2Cu2Ni2,-0.28983
297,Ac2Cu2P2O2,-1.78341
298,Ac3Cu3O6,-2.3293
299,Ac4Cu4O12,-2.14604
300,Ac4Cu4Pb4,-0.36706
301,Ac2Cu2Sb4Pd2,-0.67221
302,Ac2Cu2Sb4,-0.57166
303,AcCuSi,-0.50966
304,AcCuSn,-0.3723
305,AcCu2,-0.21685
306,Ac2Ga4Cu4,-0.41871
307,AcCu2Ge2,-0.453
308,AcCu2P2,-0.66803
309,AcCu2Si2,-0.46157
310,Ac2Zn4Cu6,-0.2087
311,AcCu4F12,-2.39345
312,AcCu5,-0.1374
313,Ac2Dy2Hg2,-0.31969
314,Ac2Dy2Te6,-1.49944
315,Ac2Dy4S8,-2.10694
316,Ac2Dy4Se8,-1.90103
317,Ac2Dy6Se12,-1.92149
318,AcErGa4,-0.61692
319,Ac4Er4O12,-3.63449
320,Ac2Er2Te6,-1.49621
321,Ac2Er2Tl2,-0.2095
322,Ac2Er4S8,-2.11085
323,Ac2Er4Se8,-1.90207
