,composition,Formation Energy (eV/atom)
177,Ba4AcHg5,-0.55589
178,Ba5AcS6,-2.33626
179,Ba5AcSe6,-2.30291
180,AcBeGe,-0.4841
181,Ac2Be2Pd6,-0.63117
182,AcBeSi,-0.33996
183,AcBi,-0.92732
184,LiAcBi,-0.78556
185,Ac2Bi2O8,-2.45574
186,AcBiPd,-0.85829
187,AcBiPt,-0.95341
188,Ac2Bi2Se2,-1.60657
189,Ac2Sn2Bi2,-0.70173
190,Li2Ac2Bi4,-0.73802
191,Ac2Bi4Pd4,-0.70193
192,Ac2Bi4Rh2,-0.69562
193,AcBi3,-0.51845
194,Ac4Hf4Bi12,-0.54895
195,Ac2Mg6Bi6,-0.46705
196,Ac2Bi6S12,-1.10996
197,Ac2Bi6Se12,-1.08091
198,Ac4Ti4Bi12,-0.51681
199,Ac2Ga2Br2,-1.48282
200,Ac2Ir2Br2,-1.38198
201,Ac2Br2N2,-1.71254
202,Ac2Br2O2,-3.43041
203,Ac2Rh2Br2,-1.45987
204,Ac2Si2Br2,-1.52544
205,Ac2Br6,-2.5144
206,Cs3AcBr6,-2.28424
207,Rb6Ac2Br12,-2.25591
208,Ac2C2F2,-2.19294
209,Ac4C4N8,-1.13053
210,AcRh3C,-0.35826
211,AcC2,-0.16312
212,AcCoC2,-0.25149
213,AcNiC2,-0.24141
214,AcRuC2,-0.18434
215,CaAcCdIn,-0.41259
216,CaAcTlCd,-0.39813
217,CaAcZnGa,-0.40194
218,Ca2Ac2Ga6,-0.5704
219,CaAcInHg,-0.51761
220,CaAcTlHg,-0.49604
221,CaAcHg2,-0.56099
222,CaAcZnIn,-0.38619
223,CaAcMgTl,-0.29515
224,CaAcMg4,-0.11361
225,CaAcPd4,-0.74303
226,CaAcPt2,-1.02786
227,CaAcPt4,-0.96399
228,CaAcRh4,-0.54969
229,Ca2Ac2Si6,-0.57178
230,CaAcZn2,-0.27229
231,Ca4Ac2Ir2,-0.40059
232,Ca4Ac2Rh2,-0.38296
233,Ac2Cd2,-0.28485
234,AcEuCdIn,-0.40199
235,AcEuTlCd,-0.38845
236,AcCdHg2,-0.41642
237,Ac2Cd2In2,-0.4052
238,SrAcCdIn,-0.38876
239,Ac6Mg6Cd6,-0.28057
240,Ac2Cd2P2O2,-1.95556
241,Ac4Cd4Pd8,-0.66735
242,Ac4Cd4Pt4,-0.7938
243,AcCdPt4,-0.68185
244,AcCdSn,-0.59364
245,SrAcTlCd,-0.37748
246,Ac2Tl2Cd2,-0.3545
247,AcCd12,-0.11457
