,composition,Energy (eV/atom)
0,Ac,-4.108373165130615
1,Ag,-2.83094056447347
2,Al,-3.7440669536590576
3,Ar,7.974236488342285
4,As,-4.662919044494629
5,Au,-3.2746825218200684
6,B,-6.678757985432942
7,Ba,-1.922507166862488
8,Be,-3.7366702556610103
9,Bi,-3.8902764320373535
10,Br,-1.6259751319885254
11,C,-9.219675064086914
12,Ca,-2.0047788619995117
13,Cd,-0.9095505475997924
14,Ce,-5.882262229919434
15,Cl,-1.8277580738067627
16,Co,-7.103610038757324
17,Cr,-9.630844116210938
18,Cs,-0.8576366901397705
19,Cu,-4.099611282348633
20,Dy,-4.598668734232585
21,Er,-4.552491188049316
22,Eu,-10.233607292175291
23,F,-1.7360711097717283
24,Fe,-8.432833671569824
25,Ga,-3.0318431854248047
26,Gd,-14.051353454589844
27,Ge,-4.6210103034973145
28,H,-3.3097000122070312
29,He,-0.0241583585739135
30,Hf,-9.958611488342283
31,Hg,-0.2992604025479021
32,Ho,-4.562086423238118
33,I,-1.5493278503417969
34,In,-2.720384359359741
35,Ir,-8.862534523010254
36,K,-1.096179485321045
37,Kr,2.6456375122070312
38,La,-4.9218597412109375
39,Li,-1.9064971605936687
40,Lu,-4.514127254486084
41,Mg,-1.6181488037109375
42,Mn,-9.161605308795798
43,Mo,-10.834552764892578
44,N,-8.239060401916504
45,Na,-1.3102494478225708
46,Nb,-10.085329055786133
47,Nd,-4.76778507232666
48,Ne,5.777935028076172
49,Ni,-5.786864757537842
50,Np,-12.94577980041504
51,O,-4.875338077545166
52,Os,-11.21983528137207
53,P,-5.402826581682477
54,Pa,-9.486702919006348
55,Pb,-3.696211338043213
56,Pd,-5.191821575164795
57,Pm,-4.7477569580078125
58,Pr,-4.778624057769775
59,Pt,-6.054715633392334
60,Pu,-14.323864936828612
61,Rb,-0.9655183951059976
62,Re,-12.427889823913574
63,Rh,-7.345698833465576
64,Ru,-9.278972625732422
65,S,-4.114798227945964
66,Sb,-4.129210472106934
67,Sc,-6.331859588623047
68,Se,-3.483428955078125
69,Si,-5.422255992889404
70,Sm,-4.717782497406006
71,Sn,-4.0020527839660645
72,Sr,-1.6866298913955688
73,Ta,-11.844179153442385
74,Tb,-4.626777648925781
75,Tc,-10.35542106628418
76,Te,-3.1437466939290366
77,Th,-7.414566516876221
78,Ti,-7.895453135172526
79,Tl,-2.3648290634155273
80,Tm,-4.472656726837158
81,U,-11.291165351867676
82,V,-9.109957695007324
83,W,-12.949331283569336
84,Xe,6.566714286804199
85,Y,-6.462799072265625
86,Yb,-1.5492615699768066
87,Zn,-1.266425848007202
88,Zr,-8.537291208902994
