,composition,Formation Energy (eV/atom)
178,Ba5AcS6,-2.08171
179,Ba5AcSe6,-2.02764
180,AcBeGe,-0.51393
181,Ac2Be2Pd6,-0.70705
182,AcBeSi,-0.44594
183,AcBi,-1.01788
184,LiAcBi,-0.7322
185,Ac2Bi2O8,-2.02887
186,AcBiPd,-0.92141
187,AcBiPt,-0.95578
188,Ac2Bi2Se2,-1.42193
189,Ac2Sn2Bi2,-0.69981
190,Li2Ac2Bi4,-0.74219
191,Ac2Bi4Pd4,-0.7002
192,Ac2Bi4Rh2,-0.6092
193,AcBi3,-0.55055
194,Ac4Hf4Bi12,-0.49669
195,Ac2Mg6Bi6,-0.44912
196,Ac2Bi6S12,-0.84043
197,Ac2Bi6Se12,-0.81236
198,Ac4Ti4Bi12,-0.50223
199,Ac2Ga2Br2,-1.30243
200,Ac2Ir2Br2,-1.33017
201,Ac2Br2N2,-1.50904
202,Ac2Br2O2,-3.0463
203,Ac2Rh2Br2,-1.30264
204,Ac2Si2Br2,-1.27459
205,Ac2Br6,-2.12004
206,Cs3AcBr6,-1.95146
207,Rb6Ac2Br12,-1.92664
208,Ac2C2F2,-2.01719
209,Ac4C4N8,-0.698
210,AcRh3C,-0.29173
211,AcC2,-0.07277
212,AcCoC2,-0.14479
213,AcNiC2,-0.14162
214,AcRuC2,-0.07256
215,CaAcCdIn,-0.43278
216,CaAcTlCd,-0.40938
217,CaAcZnGa,-0.38706
218,Ca2Ac2Ga6,-0.56895
219,CaAcInHg,-0.51982
220,CaAcTlHg,-0.50142
221,CaAcHg2,-0.5438
222,CaAcZnIn,-0.37772
223,CaAcMgTl,-0.27795
224,CaAcMg4,-0.11173
225,CaAcPd4,-0.75488
226,CaAcPt2,-1.05799
227,CaAcPt4,-1.00403
228,CaAcRh4,-0.51147
229,Ca2Ac2Si6,-0.54196
230,CaAcZn2,-0.26822
231,Ca4Ac2Ir2,-0.38123
232,Ca4Ac2Rh2,-0.38389
233,Ac2Cd2,-0.30461
234,AcEuCdIn,-0.41483
235,AcEuTlCd,-0.38813
236,AcCdHg2,-0.41933
237,Ac2Cd2In2,-0.44586
238,SrAcCdIn,-0.40299
239,Ac6Mg6Cd6,-0.25517
240,Ac2Cd2P2O2,-1.80741
241,Ac4Cd4Pd8,-0.69597
242,Ac4Cd4Pt4,-0.8581
243,AcCdPt4,-0.77673
244,AcCdSn,-0.53566
245,SrAcTlCd,-0.38354
246,Ac2Tl2Cd2,-0.35671
247,AcCd12,-0.13878
248,Ac2Cd4,-0.35116
249,AcEuCd2,-0.34083
250,Ac2Cd4In2,-0.37347
251,Ac4Mg4Cd8,-0.28254
252,Ac2Cd4Ni2,-0.29135
253,Ac2Cd4Pd2,-0.56522
254,AcCd2Pd4,-0.59048
255,Ac2Cd4Pt2,-0.64909
256,AcCd2Pt2,-0.73028
257,Ac2Cd4Rh2,-0.46777
258,AcZn2Cd2,-0.29008
259,Ac2Cd6,-0.32147
260,AcMg8Cd4,-0.15396
261,Ac2Cd8Pt4,-0.55168
262,AcZn2Cd4,-0.24399
263,AcMg4Cd8,-0.19086
264,AcCeGa4,-0.65955
265,AcCeIr,-0.48979
266,Ac2Ir2Cl2,-1.47267
267,Ac2N2Cl2,-1.66328
268,Ac2Cl2O2,-3.21147
269,AcSeCl,-2.22735
270,Ac2Cl6,-2.50737
271,Cs3AcCl6,-2.20975
272,Rb6Ac2Cl12,-2.18901
273,Ac2Co2Ge4,-0.59995
274,AcCoGe3,-0.56978
275,AcCoH6,-0.45055
276,Ac2Co2N6,-0.57434
277,Ac2Co2Si2,-0.57932
278,Ac2Ga6Co4,-0.4088
279,AcGa5Co2,-0.43523
280,AcCo2Si2,-0.59738
