,composition,Formation Energy (eV/atom)
178,Ba5AcS6,-2.1375
179,Ba5AcSe6,-2.11772
180,AcBeGe,-0.42064
181,Ac2Be2Pd6,-0.66402
182,AcBeSi,-0.30835
183,AcBi,-0.92976
184,LiAcBi,-0.73225
185,Ac2Bi2O8,-2.03918
186,AcBiPd,-0.89307
187,AcBiPt,-0.94532
188,Ac2Bi2Se2,-1.38773
189,Ac2Sn2Bi2,-0.60317
190,Li2Ac2Bi4,-0.72552
191,Ac2Bi4Pd4,-0.70529
192,Ac2Bi4Rh2,-0.59711
193,AcBi3,-0.49703
194,Ac4Hf4Bi12,-0.47347
195,Ac2Mg6Bi6,-0.44578
196,Ac2Bi6S12,-0.83809
197,Ac2Bi6Se12,-0.81232
198,Ac4Ti4Bi12,-0.4855
199,Ac2Ga2Br2,-1.30729
200,Ac2Ir2Br2,-1.22168
201,Ac2Br2N2,-1.59487
202,Ac2Br2O2,-3.04346
203,Ac2Rh2Br2,-1.27171
204,Ac2Si2Br2,-1.23922
205,Ac2Br6,-2.14539
206,Cs3AcBr6,-1.96423
207,Rb6Ac2Br12,-1.94128
208,Ac2C2F2,-1.9275
209,Ac4C4N8,-0.78851
210,AcRh3C,-0.33868
211,AcC2,-0.03788
212,AcCoC2,-0.18598
213,AcNiC2,-0.15942
214,AcRuC2,-0.09994
215,CaAcCdIn,-0.43523
216,CaAcTlCd,-0.41246
217,CaAcZnGa,-0.40128
218,Ca2Ac2Ga6,-0.55062
219,CaAcInHg,-0.5079
220,CaAcTlHg,-0.48921
221,CaAcHg2,-0.53165
222,CaAcZnIn,-0.3802
223,CaAcMgTl,-0.27054
224,CaAcMg4,-0.13199
225,CaAcPd4,-0.79147
226,CaAcPt2,-1.02199
227,CaAcPt4,-1.0452
228,CaAcRh4,-0.58615
229,Ca2Ac2Si6,-0.49313
230,CaAcZn2,-0.29009
231,Ca4Ac2Ir2,-0.35479
232,Ca4Ac2Rh2,-0.36148
233,Ac2Cd2,-0.29957
234,AcEuCdIn,-0.42163
235,AcEuTlCd,-0.39428
236,AcCdHg2,-0.41483
237,Ac2Cd2In2,-0.44642
238,SrAcCdIn,-0.40789
239,Ac6Mg6Cd6,-0.25036
240,Ac2Cd2P2O2,-1.80328
241,Ac4Cd4Pd8,-0.69155
242,Ac4Cd4Pt4,-0.81957
243,AcCdPt4,-0.80129
244,AcCdSn,-0.55003
245,SrAcTlCd,-0.38798
246,Ac2Tl2Cd2,-0.35115
247,AcCd12,-0.14322
248,Ac2Cd4,-0.34174
249,AcEuCd2,-0.34051
250,Ac2Cd4In2,-0.37121
251,Ac4Mg4Cd8,-0.29342
252,Ac2Cd4Ni2,-0.28155
253,Ac2Cd4Pd2,-0.53806
254,AcCd2Pd4,-0.62782
255,Ac2Cd4Pt2,-0.62068
256,AcCd2Pt2,-0.75809
257,Ac2Cd4Rh2,-0.44326
258,AcZn2Cd2,-0.31283
259,Ac2Cd6,-0.3125
260,AcMg8Cd4,-0.14694
261,Ac2Cd8Pt4,-0.57247
262,AcZn2Cd4,-0.22722
263,AcMg4Cd8,-0.17514
264,AcCeGa4,-0.63632
265,AcCeIr,-0.51092
266,Ac2Ir2Cl2,-1.34619
267,Ac2N2Cl2,-1.73847
268,Ac2Cl2O2,-3.21191
269,AcSeCl,-2.24384
270,Ac2Cl6,-2.50492
271,Cs3AcCl6,-2.20125
272,Rb6Ac2Cl12,-2.18548
273,Ac2Co2Ge4,-0.60633
274,AcCoGe3,-0.53784
275,AcCoH6,-0.3594
276,Ac2Co2N6,-0.46547
277,Ac2Co2Si2,-0.56875
278,Ac2Ga6Co4,-0.40196
279,AcGa5Co2,-0.40093
280,AcCo2Si2,-0.57957
281,Ac2Cr2P2O2,-1.4548
282,Ac4Cr4O12,-2.46268
283,Ac2Cr2O8,-2.09407
284,CsAcF4,-3.7912
285,CsAcO2,-2.52084
286,CsAcS2,-1.89057
287,Cs2Ac2Tb2Te6,-1.3684
288,CsAcTe2,-1.51085
289,Cs6Ac2I12,-1.62017
290,AcCuF6,-2.91128
291,AcGa6Cu,-0.34939
292,Ac3Cu3Ge3,-0.57707
293,Ac2Cu2I2,-0.88382
294,Ac2In8Cu2,-0.32377
295,Ac2Mg4Cu2,-0.15349
296,Ac2Cu2Ni2,-0.31852
297,Ac2Cu2P2O2,-1.75289
298,Ac3Cu3O6,-2.38592
299,Ac4Cu4O12,-2.09779
300,Ac4Cu4Pb4,-0.34685
301,Ac2Cu2Sb4Pd2,-0.73052
302,Ac2Cu2Sb4,-0.66561
303,AcCuSi,-0.45026
304,AcCuSn,-0.40666
305,AcCu2,-0.24024
306,Ac2Ga4Cu4,-0.41176
307,AcCu2Ge2,-0.48364
308,AcCu2P2,-0.71294
309,AcCu2Si2,-0.44513
310,Ac2Zn4Cu6,-0.17928
311,AcCu4F12,-2.20119
312,AcCu5,-0.13985
313,Ac2Dy2Hg2,-0.29388
314,Ac2Dy2Te6,-1.5149
315,Ac2Dy4S8,-2.11298
316,Ac2Dy4Se8,-1.9197
317,Ac2Dy6Se12,-1.9422
318,AcErGa4,-0.58511
319,Ac4Er4O12,-3.55628
320,Ac2Er2Te6,-1.50669
321,Ac2Er2Tl2,-0.28934
322,Ac2Er4S8,-2.11638
323,Ac2Er4Se8,-1.92497
324,Ac2Er6S12,-2.13812
