,composition,Formation Energy (eV/atom)
177,Ba4AcHg5,-0.54777
178,Ba5AcS6,-2.12022
179,Ba5AcSe6,-2.08678
180,AcBeGe,-0.51248
181,Ac2Be2Pd6,-0.72118
182,AcBeSi,-0.37483
183,AcBi,-0.96455
184,LiAcBi,-0.69059
185,Ac2Bi2O8,-2.05706
186,AcBiPd,-0.87724
187,AcBiPt,-0.94337
188,Ac2Bi2Se2,-1.39145
189,Ac2Sn2Bi2,-0.62719
190,Li2Ac2Bi4,-0.69029
191,Ac2Bi4Pd4,-0.666
192,Ac2Bi4Rh2,-0.5748
193,AcBi3,-0.48555
194,Ac4Hf4Bi12,-0.46706
195,Ac2Mg6Bi6,-0.3992
196,Ac2Bi6S12,-0.83403
197,Ac2Bi6Se12,-0.79893
198,Ac4Ti4Bi12,-0.48429
199,Ac2Ga2Br2,-1.34762
200,Ac2Ir2Br2,-1.09683
201,Ac2Br2N2,-1.43177
202,Ac2Br2O2,-3.03975
203,Ac2Rh2Br2,-1.13061
204,Ac2Si2Br2,-1.31939
205,Ac2Br6,-2.11794
206,Cs3AcBr6,-1.96967
207,Rb6Ac2Br12,-1.94699
208,Ac2C2F2,-2.03191
209,Ac4C4N8,-0.87973
210,AcRh3C,-0.34211
211,AcC2,-0.12443
212,AcCoC2,-0.12455
213,AcNiC2,-0.16033
214,AcRuC2,-0.09609
215,CaAcCdIn,-0.447
216,CaAcTlCd,-0.40144
217,CaAcZnGa,-0.3892
218,Ca2Ac2Ga6,-0.62325
219,CaAcInHg,-0.52787
220,CaAcTlHg,-0.48835
221,CaAcHg2,-0.54586
222,CaAcZnIn,-0.38927
223,CaAcMgTl,-0.25569
224,CaAcMg4,-0.13076
225,CaAcPd4,-0.72209
226,CaAcPt2,-1.05353
227,CaAcPt4,-0.98275
228,CaAcRh4,-0.54377
229,Ca2Ac2Si6,-0.54744
230,CaAcZn2,-0.27606
231,Ca4Ac2Ir2,-0.36602
232,Ca4Ac2Rh2,-0.364
233,Ac2Cd2,-0.29074
234,AcEuCdIn,-0.42466
235,AcEuTlCd,-0.37917
236,AcCdHg2,-0.41449
237,Ac2Cd2In2,-0.47056
238,SrAcCdIn,-0.41595
239,Ac6Mg6Cd6,-0.29121
240,Ac2Cd2P2O2,-1.75741
241,Ac4Cd4Pd8,-0.67332
242,Ac4Cd4Pt4,-0.86003
243,AcCdPt4,-0.7659
244,AcCdSn,-0.49684
245,SrAcTlCd,-0.37771
246,Ac2Tl2Cd2,-0.38805
247,AcCd12,-0.15958
248,Ac2Cd4,-0.3567
249,AcEuCd2,-0.36042
250,Ac2Cd4In2,-0.39567
251,Ac4Mg4Cd8,-0.31399
252,Ac2Cd4Ni2,-0.28854
253,Ac2Cd4Pd2,-0.54947
254,AcCd2Pd4,-0.58686
255,Ac2Cd4Pt2,-0.64128
256,AcCd2Pt2,-0.74913
257,Ac2Cd4Rh2,-0.4518
258,AcZn2Cd2,-0.33044
259,Ac2Cd6,-0.33035
260,AcMg8Cd4,-0.14407
261,Ac2Cd8Pt4,-0.56627
262,AcZn2Cd4,-0.23554
263,AcMg4Cd8,-0.18743
264,AcCeGa4,-0.68848
265,AcCeIr,-0.57028
266,Ac2Ir2Cl2,-1.21715
267,Ac2N2Cl2,-1.58107
268,Ac2Cl2O2,-3.198
269,AcSeCl,-2.17204
270,Ac2Cl6,-2.50418
271,Cs3AcCl6,-2.2101
272,Rb6Ac2Cl12,-2.19413
273,Ac2Co2Ge4,-0.61188
274,AcCoGe3,-0.55381
275,AcCoH6,-0.38583
276,Ac2Co2N6,-0.49575
277,Ac2Co2Si2,-0.5676
278,Ac2Ga6Co4,-0.41467
279,AcGa5Co2,-0.44966
280,AcCo2Si2,-0.56836
281,Ac2Cr2P2O2,-1.27017
282,Ac4Cr4O12,-2.43737
283,Ac2Cr2O8,-2.09385
284,CsAcF4,-3.8526
285,CsAcO2,-2.53708
286,CsAcS2,-1.88668
287,Cs2Ac2Tb2Te6,-1.34131
288,CsAcTe2,-1.51673
289,Cs6Ac2I12,-1.58779
290,AcCuF6,-2.94637
291,AcGa6Cu,-0.38331
292,Ac3Cu3Ge3,-0.5423
293,Ac2Cu2I2,-0.78778
294,Ac2In8Cu2,-0.32286
295,Ac2Mg4Cu2,-0.1712
296,Ac2Cu2Ni2,-0.24447
297,Ac2Cu2P2O2,-1.82239
298,Ac3Cu3O6,-2.37257
299,Ac4Cu4O12,-2.07686
300,Ac4Cu4Pb4,-0.31502
301,Ac2Cu2Sb4Pd2,-0.69984
302,Ac2Cu2Sb4,-0.64628
303,AcCuSi,-0.4856
304,AcCuSn,-0.37605
305,AcCu2,-0.2049
306,Ac2Ga4Cu4,-0.42691
307,AcCu2Ge2,-0.48167
308,AcCu2P2,-0.71086
309,AcCu2Si2,-0.46922
310,Ac2Zn4Cu6,-0.21055
311,AcCu4F12,-2.24802
312,AcCu5,-0.15155
313,Ac2Dy2Hg2,-0.30086
314,Ac2Dy2Te6,-1.51001
315,Ac2Dy4S8,-2.13164
316,Ac2Dy4Se8,-1.94472
317,Ac2Dy6Se12,-1.94053
318,AcErGa4,-0.66123
319,Ac4Er4O12,-3.57062
320,Ac2Er2Te6,-1.5009
321,Ac2Er2Tl2,-0.23772
322,Ac2Er4S8,-2.1317
323,Ac2Er4Se8,-1.93436
324,Ac2Er6S12,-2.13731
325,Ac2Er6Se12,-1.92336
326,AcEuTlHg,-0.46952
327,AcEuHg2,-0.54194
328,AcEuIr,-0.45916
329,AcEuPd4,-0.7024
330,AcEuPt4,-0.9799
331,AcEuRh,-0.40625
332,AcEuRh4,-0.53563
333,AcEuZn2,-0.27262
334,Ac2Ge2F2,-2.37876
335,Ac2O2F2,-3.9225
336,Ac4P4F4,-2.60672
337,AcSF,-3.10054
338,Ac2Se2F2,-3.02184
339,Ac2Te2F2,-2.76413
340,Ac2F6,-4.33881
341,KAcF4,-3.90158
342,RbAcF4,-3.8735
343,Ac2Tl2F8,-3.48172
344,AcFeH6,-0.36823
345,Ac4Fe4O12,-2.03359
346,Ac2Fe2Si2,-0.40741
347,AcFe4Sb12,-0.22199
348,AcGaGe,-0.6808
349,Ac2Ga2I2,-1.0939
350,AcGaIr,-0.68565
351,Ac2Mg2Ga2,-0.45486
352,Ac2Ga2N2,-0.84591
353,AcGaNi2,-0.51216
354,Ac4Ga4O12,-2.72948
355,AcGaPd,-0.79896
356,Ac4Ga4Pd8,-0.81403
357,AcGaPt,-1.00253
358,Ac4Ga4Pt8,-1.01078
359,Ac4Ga4Rh4,-0.69597
360,Ac2Ga2Ru2,-0.42959
361,AcGaSi,-0.6888
362,AcGaSn,-0.64196
363,Ac2Ga4,-0.71214
364,AcGa2Hg2,-0.42989
365,Ac4In4Ga8,-0.53013
366,AcGa2Ir2,-0.58271
367,AcGa2Ir3,-0.65567
368,Ac4Mg4Ga8,-0.51968
369,AcMg4Ga2,-0.34033
370,Ac2Nd2Ga4,-0.53934
371,Ac2Ga4Pd4,-0.79546
372,Ac2Ga4Pt4,-0.95654
373,AcGa2Rh3,-0.78818
374,Ac2Ga6,-0.53359
375,Ac2Ga6Ni4,-0.52503
376,Ac2Ga6Pt2,-0.83369
377,Ac2Ga6Ru4,-0.4719
378,AcGa4,-0.52898
379,AcHoGa4,-0.6715
380,LiAcGa4,-0.49264
381,AcGa4Pd6,-0.7314
382,AcPmGa4,-0.70905
383,AcGa4Pt6,-0.78254
384,AcGa5Ir2,-0.58665
385,AcGa5Ni2,-0.51444
386,AcGa5Rh2,-0.6494
387,AcGa6Ir,-0.53393
388,AcGa6Ni,-0.44331
389,AcGa6Pd,-0.52165
390,AcGa6Pt,-0.57788
391,AcGa6Pt4,-0.72503
392,AcGa6Rh,-0.55122
393,AcGdIr,-0.5258
394,Ac2Ge2,-0.79885
395,AcGeIr,-0.761
396,Li4Ac4Ge4,-0.57113
397,Ac2Mg2Ge2,-0.603
398,Ac4Ge4N4,-0.77554
399,Ac4Ge4N8,-0.64909
400,NaAcGe,-0.34612
401,AcNi2Ge,-0.52208
402,AcGePd,-0.87261
403,Ac2Ge2Pd6,-0.76541
404,AcPmGe,-0.51445
405,AcGePt,-1.07166
406,Ac2Ge2Rh4,-0.67988
407,Ac2Ge2Ru2,-0.64024
408,Ac4Ge4S12,-1.29163
409,Ac2Si2Ge2,-0.60504
410,AcZnGe,-0.62002
411,AcGe12Pt4,-0.41556
412,AcGe2,-0.61653
413,Ac2Ge4Ir4,-0.70371
414,K4Ac4Ge8,-0.48548
415,Li4Ac4Ge8,-0.65872
416,Na4Ac4Ge8,-0.48268
417,AcNi2Ge2,-0.62573
418,Ac2Ge4Pd4,-0.79822
419,Ac2Ge4Pt2,-0.88374
420,Ac2Ge4Pt4,-0.90822
421,Ac2Ge4Rh2,-0.80943
422,AcGe2Rh2,-0.86198
423,AcGe2Ru2,-0.59384
424,Ac2Tc6Ge4,-0.27558
425,Ac2Zn4Ge4,-0.45729
426,Ac2Hf2Ge6,-0.60922
427,Ac2Nb2Ge6,-0.45201
428,AcNiGe3,-0.57183
429,Ac2Ta2Ge6,-0.40154
430,Ac2Tc2Ge6,-0.23025
431,Ac2Ti2Ge6,-0.61144
432,AcGe4Rh6,-0.71627
433,AcHO,-2.12996
434,Ac4H4O8,-2.5549
435,AcHS,-1.53363
436,AcHSe,-1.49022
437,AcTeH,-1.242
438,AcH2,-0.61144
439,Ac2H4Pt2,-0.68331
440,AcH3,-0.5816
441,Ac2H6Pd6,-0.43269
442,Ac2H8Ir2,-0.5063
443,Ac2Ni2H8,-0.48452
444,Ac2H8Pd2,-0.50066
445,Ac2H8Rh2,-0.53141
446,AcH6Ir,-0.36899
447,AcH7Rh2,-0.3031
448,Ac2Hf2Pt2,-0.78305
449,AcHg,-0.50193
450,Ac2In2Hg2,-0.51655
451,AcMgTlHg,-0.33028
452,NaAcHgPb,-0.38105
453,NaAcSnHg,-0.45605
454,Ac2Ni2Hg2,-0.31236
455,AcHgPd4,-0.58795
456,AcHgPt4,-0.70203
457,Ac2Hg2Rh2,-0.47762
458,Ac2Si2Hg2,-0.51272
459,AcHgTe2,-0.86956
460,Ac2Tl2Hg2,-0.40272
461,AcHg2,-0.46334
462,Ac2In2Hg4,-0.46109
463,AcMgHg2,-0.41302
464,AcMg5Hg2,-0.23501
465,NaAcHg2,-0.39334
466,Ac2Hg4Pd2,-0.56392
467,Ac2Hg4Rh2,-0.48241
468,AcSnHg2,-0.4881
469,SrAcHg2,-0.52285
470,AcYbHg2,-0.57944
471,Ac2Hg6,-0.41839
472,SrAcHg4,-0.47633
473,AcHg5,-0.26634
474,Ac4Ho4O12,-3.55032
475,AcHoOs,-0.04381
476,Ac2Ho2Te6,-1.50445
477,Ac2Ho4S8,-2.13235
478,Ac2Ho4Se8,-1.93929
479,Ac2Ho6S12,-2.14153
480,Ac2Ho6Se12,-1.93441
481,Ac2In2I2,-0.96023
482,Ac2Ir2I2,-0.8661
483,Ac2Ni2I2,-0.65978
484,Ac2I2O2,-2.80857
485,Ac2I2O8,-1.64538
486,AcIO6,-1.18329
487,Ac2Rh2I2,-0.86501
488,Ac2Tl2I2,-0.8269
489,Ac2Zn2I2,-0.84083
490,Ac2I6,-1.57192
491,Rb6Ac2I12,-1.54355
492,AcIn,-0.42175
493,Ac4In4Ir4,-0.58312
494,Li2AcIn,-0.26516
495,Ac2Mg2In2,-0.42391
496,Ac2In2Ni2,-0.37465
497,Ac4In4O12,-2.56506
498,Ac4In4Pd4,-0.77097
499,Ac2In2Pd4,-0.80385
500,Ac4In4Pt4,-0.93526
501,AcInPt4,-0.77112
502,AcInSn2,-0.46371
503,Ac2In4,-0.51901
504,Ac2In4Ir2,-0.53695
505,AcMg4In2,-0.211
506,AcIn2Pd4,-0.67375
507,Ac2In4Rh2,-0.61908
508,AcZn2In2,-0.40642
509,Ac2In6,-0.42679
510,Ac2In8Ni2,-0.37812
511,Ac2In8Pd2,-0.524
512,AcIn5Ir,-0.35141
513,AcIn5Pt2,-0.57668
514,AcIn5Rh,-0.4027
515,AcIn6Pd4,-0.55339
516,Ac2Ir2,-0.49188
517,Ac2La2Ir2,-0.5527
518,Ac4Mg4Ir4,-0.50292
519,Ac2Mg4Ir2,-0.36586
520,AcNdIr,-0.50407
521,AcNiIr,-0.35098
522,AcNi2Ir,-0.31221
523,Ac2P2Ir2O2,-1.84264
524,AcPIr,-1.09667
525,AcIrPt,-0.6267
526,Ac2Ir2Rh2,-0.55101
527,Ac4Si4Ir4,-0.82564
528,Ac2Si4Ir2,-0.82394
529,AcSmIr,-0.51392
530,Ac4Sn4Ir4,-0.65755
531,Ac4Sn8Ir4,-0.59972
532,SrAcIr,-0.35457
533,AcYbIr,-0.54841
534,Ac4Zn4Ir4,-0.51053
535,Ac2Zn4Ir2,-0.44946
536,Ac2Ir4,-0.55766
537,AcMg2Ir2,-0.4629
538,AcMg5Ir2,-0.33025
539,AcNb2Ir2,-0.49545
540,Ac2Pm4Ir4,-0.5536
541,Ac2Sb4Ir4,-0.64875
542,AcSi2Ir2,-0.92493
543,Ac2Sn4Ir4,-0.54858
544,SrAcIr4,-0.45595
545,KAcO2,-2.60779
546,KAcPt4,-0.73244
547,KAcS2,-1.89731
548,K2Ac2Se4,-1.78666
549,KAcTe2,-1.51089
550,AcLaOs,-0.06427
551,AcLaPt4,-1.01536
552,AcLaRh4,-0.63417
553,AcLaRu,-0.16407
554,Ac2La6Se12,-2.02876
555,Li4Ac4Pb4,-0.49466
556,Li2Ac2Pd2,-0.54299
557,Li4Ac4Pd8,-0.6376
558,LiAcPt4,-0.86164
559,Li2Ac2Rh2,-0.4235
560,LiAcSb,-0.83706
561,Li2Ac2Sb4,-0.78134
562,Li4Ac4Si8,-0.48687
563,Li4Ac4Sn4,-0.6062
564,Li4Ac4Tl4,-0.33916
565,LiAcTl2,-0.32332
566,Li4Ac2Pb4,-0.4387
567,Li4Ac2Sn4,-0.51961
568,Li6Ac2Pd4,-0.46428
569,Li4AcPd2,-0.38445
570,Li8Ac2Pt4,-0.61492
571,Ac4Lu4O12,-3.61896
572,Ac2Mg2,-0.08513
573,Ac2Mg2Pb2,-0.39602
574,Ac6Mg6Pd6,-0.65076
575,Ac4Mg4Pt4,-0.8837
