,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.27552
2,Ac2Ag2As4,-0.75468
3,Ac2Ag2Bi4,-0.56748
4,CaAcInAg,-0.38926
5,CaAcAgPb,-0.47278
6,Ac2Cd4Ag2,-0.31345
7,AcEuAgPb,-0.46612
8,AcEuAgSn,-0.54317
9,AcAgGe,-0.55827
10,AcAgHg,-0.4153
11,Ac3In3Ag3,-0.41411
12,Ac2Mg4Ag2,-0.21882
13,Ac3Ag3O6,-2.20828
14,Ac4Ag4O12,-1.75303
15,AcAgPb,-0.42171
16,Ac2Ag2Pd2,-0.59451
17,Ac2Ag2Sb4,-0.70559
18,AcAgSn,-0.56643
19,AcAgTe2,-0.83177
20,AcZnAg,-0.32802
21,Ac2Ag4,-0.32343
22,AcAg2Ge2,-0.45187
23,Li2AcAg2,-0.23218
24,Ac2Mg8Ag4,-0.21477
25,Ac2Ag4Pd2,-0.45353
26,AcSi2Ag2,-0.4206
27,Ac2Ag4Sn4,-0.44296
28,Ac2Ag6,-0.27078
29,AcCdAg4,-0.23014
30,AcCd8Ag4,-0.16452
31,AcAg4Hg,-0.23405
32,AcInAg4,-0.26445
33,AcPmAg4,-0.30306
34,AcTlAg4,-0.22687
35,AcIn6Ag6,-0.20238
36,AcAl4Ag8,-0.20851
37,AcZn4Ag8,-0.15307
38,Ac2Al2Br2,-1.15298
39,AcAlGa,-0.53707
40,AcAlGe,-0.61769
41,Ac2Al2I2,-0.95348
42,Ac2Al2In2,-0.43751
43,Ac4Al4Ir4,-0.74067
44,AcAlO3,-3.33017
45,AcAlPd2,-0.87307
46,Ac4Al4Pt4,-1.0111
47,Ac4Al4Pt8,-1.14805
48,AcAlSi,-0.56834
49,Ac2Al2Zn2,-0.3539
50,Ac2Al4,-0.35672
51,Ac2Al4Au4,-0.73527
52,Ac2Al4Au6,-0.7019
53,AcAl2Cd2,-0.33037
54,Ac2Al4Cu2,-0.36167
55,Ac2Al4Cu6,-0.3385
56,AcAl2Ga2,-0.44458
57,Ac2Al4Ir2,-0.74099
58,Ac2Al4Ir4,-0.82678
59,Li4Ac4Al8,-0.28319
60,Ac2Al4Ni2,-0.51716
61,Ac2Al4Pd2,-0.68701
62,Ac2Al4Pt2,-0.88473
63,Ac2Al4Rh2,-0.72798
64,Ac2Al6,-0.36355
65,Ac2Al6Cu4,-0.35455
66,Ac2Al6Ni4,-0.57449
67,Ac2Al6Pd4,-0.77395
68,Sr2Ac2Al6,-0.30525
69,AcAl4,-0.31847
70,Ac2Al8Co2,-0.45462
71,AcEuAl4,-0.38407
72,Ac2Al8Fe2,-0.36886
73,AcAl5Cu2,-0.35159
74,AcAl5Ir2,-0.76947
75,AcAl5Ni2,-0.57053
76,AcAl5Pd2,-0.69244
77,AcAl5Pt2,-0.87786
78,AcAl5Rh2,-0.7634
79,AcAl6Pd,-0.47369
80,AcAl6Pt,-0.57055
81,AcAl9Co2,-0.43058
82,AcAl9Fe2,-0.3502
83,AcAs,-1.48086
84,Ac2Cd2As2O2,-1.827
85,Ac2Cr2As2O2,-1.20518
86,Ac2Cu2As2O2,-1.75368
87,Ac2As2Ir2O2,-1.84986
88,LiAcAs,-0.99852
89,Ac2Mn2As2O2,-1.3827
90,Ac2Nb2As2O2,-1.90175
91,Ac2As2Pd2O2,-1.89857
92,Ac2As2Pt2O2,-1.87657
93,Ac2As2Rh2O2,-1.96987
94,Ac2As2Ru2O2,-1.90103
95,Ac2Tc2As2O2,-1.77632
96,Ac2V2As2O2,-1.16993
97,Ac2Zn2As2O2,-1.8792
98,Ac2As2O8,-2.43499
99,AcAsPd,-1.20172
100,AcAsRh,-1.06572
101,Ac2As2S2,-1.57418
102,Ac2Cu2As4,-0.79484
103,Ac2Ni4As4,-0.80492
104,Ac2As4Pd4,-0.92662
105,Ac2As4Pd8,-0.74701
106,Ac2As4Rh4,-0.9281
107,AcAs2Ru2,-0.74398
108,AcAu,-0.78019
109,Ac2Cd4Au2,-0.50963
110,AcCuAu,-0.57586
111,Ac2Ga2Au2,-0.76392
112,AcGeAu,-0.81789
113,Ac2H2Au2,-0.73211
114,Ac2Hg2Au2,-0.68054
115,Ac2La4Au2,-0.42716
116,Ac4Mg4Au4,-0.61629
117,Ac2Mg4Au2,-0.49536
118,Ac2Au2O4,-2.21353
119,Ac4Au4O12,-1.78273
120,Ac2P2Au2,-1.00086
121,AcPbAu,-0.69721
122,AcPdAu,-0.82919
123,Ac2Pt2Au2,-0.9511
124,Ac4Au4S8,-1.40807
125,AcSbAu,-0.90276
126,Ac2Sb4Au2,-0.72611
127,Ac2Sc2Au2,-0.60202
128,AcSiAu,-0.78721
129,AcSnAu,-0.79609
130,Ac4Te8Au4,-1.06509
131,AcZnAu,-0.65337
132,AcPd2Au10,-0.29344
133,AcAu2,-0.8451
134,AcCd5Au2,-0.3683
135,Ac2Ga4Au4,-0.68169
136,Ac2Ge4Au4,-0.61444
137,AcIn2Au2,-0.61729
138,Li2AcAu2,-0.65035
139,Li8Ac2Au4,-0.49829
140,Ac2Mg8Au4,-0.52237
141,Ac2Sn4Au4,-0.64206
142,AcZn2Au2,-0.57718
143,Ac2Au6,-0.72868
144,Ac2Zn4Au6,-0.55138
145,AcCd2Au4,-0.54601
146,AcLaAu4,-0.83282
147,Li2AcAu4,-0.66952
148,AcMg2Au4,-0.70673
149,AcSi2Au4,-0.47814
150,AcCu4Au8,-0.27347
151,AcBi2Au9,-0.2789
152,Ac4B4Ir4,-0.6024
153,Ac2B2N2,-0.96011
154,Ac2B2O6,-3.11841
155,AcBRh3,-0.62221
156,AcB12,-0.06583
157,Ac2B4Ir4,-0.67236
158,Ac2B4Os4,-0.37291
159,Ac2B4Pt12,-0.59426
160,Ac2B4Rh4,-0.61278
161,Ac2B4Ru4,-0.4567
162,AcNbB4,-0.36546
