,composition,Formation Energy (eV/atom)
145,AcCd2Au4,-0.5121117830276489
146,AcLaAu4,-0.8311991691589351
147,Li2AcAu4,-0.6544388816470201
148,AcMg2Au4,-0.7095404579525901
149,AcSi2Au4,-0.4772484643118719
150,AcCu4Au8,-0.2588340319119973
151,AcBi2Au9,-0.2825090487798052
152,Ac4B4Ir4,-0.5884165234035912
153,Ac2B2N2,-0.9495011435614692
154,Ac2B2O6,-3.1094935099283845
155,AcBRh3,-0.6135492006937655
156,AcB12,-0.1022697595449591
157,Ac2B4Ir4,-0.6833625157674152
158,Ac2B4Os4,-0.3806685765584312
159,Ac2B4Pt12,-0.5509007418597189
160,Ac2B4Rh4,-0.6227597554524733
161,Ac2B4Ru4,-0.4639136632283529
162,AcNbB4,-0.3217545085483131
163,AcPmB4,-0.1260179413689499
164,AcTaB4,-0.3239152166578511
165,AcCo12B6,-0.3415705530267017
166,AcB6Ir12,-0.2749280929565429
167,AcNi12B6,-0.3942755147030468
168,AcB6Rh12,-0.4061553854691357
169,BaAcHg4,-0.4961050029458669
170,Ba2Ac2Si6,-0.5029151201248165
171,Ba2AcCd3,-0.3626108268896737
172,Ba2AcHg3,-0.5560562816159482
173,Ba2AcIrO6,-2.301349091529847
174,Ba2AcRuO6,-2.371593880653381
175,Ba2AcSbO6,-2.626467410723369
176,Ba4AcCd5,-0.3706851184368134
177,Ba4AcHg5,-0.5652243104474299
178,Ba5AcS6,-2.1553249458471937
179,Ba5AcSe6,-2.132940938075383
180,AcBeGe,-0.5307081540425616
181,Ac2Be2Pd6,-0.6812396049499512
182,AcBeSi,-0.4439647992451982
183,AcBi,-1.0308725833892822
184,LiAcBi,-0.7323901388380265
185,Ac2Bi2O8,-2.015362660090128
186,AcBiPd,-0.9384678204854336
187,AcBiPt,-0.9755603472391758
188,Ac2Bi2Se2,-1.44795020421346
189,Ac2Sn2Bi2,-0.6411778132120771
190,Li2Ac2Bi4,-0.7328559557596845
191,Ac2Bi4Pd4,-0.7070404052734371
192,Ac2Bi4Rh2,-0.6236590147018433
193,AcBi3,-0.5680414438247681
194,Ac4Hf4Bi12,-0.5024956703186039
195,Ac2Mg6Bi6,-0.4814271245683943
196,Ac2Bi6S12,-0.8811102390289309
197,Ac2Bi6Se12,-0.8843351840972904
198,Ac4Ti4Bi12,-0.4990688006083168
199,Ac2Ga2Br2,-1.315397302309672
200,Ac2Ir2Br2,-1.3598987658818569
201,Ac2Br2N2,-1.5209171374638872
202,Ac2Br2O2,-3.055841008822123
203,Ac2Rh2Br2,-1.321040193239848
204,Ac2Si2Br2,-1.291084170341492
205,Ac2Br6,-2.170840948820114
206,Cs3AcBr6,-1.9935886621475216
207,Rb6Ac2Br12,-1.977630567550659
208,Ac2C2F2,-1.951913634936015
209,Ac4C4N8,-0.6793003082275391
210,AcRh3C,-0.2705235481262207
211,AcC2,-0.093968391418457
212,AcCoC2,-0.1436406373977652
213,AcNiC2,-0.1426804065704345
214,AcRuC2,-0.0595605373382568
215,CaAcCdIn,-0.4340100139379501
216,CaAcTlCd,-0.4088108986616134
217,CaAcZnGa,-0.3999807834625244
218,Ca2Ac2Ga6,-0.5697150230407719
219,CaAcInHg,-0.5199429495581267
220,CaAcTlHg,-0.4990365607985136
221,CaAcHg2,-0.5560335126416436
