,composition,Energy (eV/atom)
0,Ac,-4.108821392059326
1,Ag,-2.831822077433268
2,Al,-3.746016025543213
3,Ar,7.955271244049072
4,As,-4.661888122558594
5,Au,-3.272531509399414
6,B,-6.681440353393555
7,Ba,-1.9227410554885864
8,Be,-3.7396328449249263
9,Bi,-3.887053251266479
10,Br,-1.6334210634231567
11,C,-9.228667259216309
12,Ca,-2.004849672317505
13,Cd,-0.9110671281814576
14,Ce,-5.876850128173828
15,Cl,-1.823690176010132
16,Co,-7.107372283935547
17,Cr,-9.63345718383789
18,Cs,-0.8578602075576782
19,Cu,-4.098616123199463
20,Dy,-4.59798526763916
21,Er,-4.554176330566406
22,Eu,-10.234335899353027
23,F,-1.7065012454986572
24,Fe,-8.46245002746582
25,Ga,-3.032407760620117
26,Gd,-14.04524040222168
27,Ge,-4.615307807922363
28,H,-3.309870958328247
29,He,-0.0119720697402954
30,Hf,-9.951988220214844
31,Hg,-0.3023408034752155
32,Ho,-4.5677900314331055
33,I,-1.5467909574508667
34,In,-2.7260093688964844
35,Ir,-8.863929748535156
36,K,-1.097983956336975
37,Kr,2.6289377212524414
38,La,-4.9210309982299805
39,Li,-1.905988375345866
40,Lu,-4.517397403717041
41,Mg,-1.6259568532307942
42,Mn,-9.17572021484375
43,Mo,-10.83658504486084
44,N,-8.24260425567627
45,Na,-1.3122286796569824
46,Nb,-10.082077980041504
47,Nd,-4.768033027648926
48,Ne,5.755019664764404
49,Ni,-5.784596920013428
50,Np,-12.952041625976562
51,O,-4.861881256103516
52,Os,-11.225488662719728
53,P,-5.406001499720982
54,Pa,-9.491158485412598
55,Pb,-3.7025108337402344
56,Pd,-5.194394111633301
57,Pm,-4.746708869934082
58,Pr,-4.780052661895752
59,Pt,-6.048079967498779
60,Pu,-14.320178985595703
61,Rb,-0.9640695254007976
62,Re,-12.4378080368042
63,Rh,-7.342310428619385
64,Ru,-9.278434753417969
65,S,-4.116178194681804
66,Sb,-4.125978469848633
67,Sc,-6.333990097045898
68,Se,-3.488081614176432
69,Si,-5.42807674407959
70,Sm,-4.716666221618652
71,Sn,-4.002491474151611
72,Sr,-1.6852892637252808
73,Ta,-11.847155570983888
74,Tb,-4.626201629638672
75,Tc,-10.35968017578125
76,Te,-3.1453002293904624
77,Th,-7.414632320404053
78,Ti,-7.891732533772786
79,Tl,-2.3618311882019043
80,Tm,-4.472877025604248
81,U,-11.294733047485352
82,V,-9.108628273010254
83,W,-12.953994750976562
84,Xe,6.52935266494751
85,Y,-6.465155601501465
86,Yb,-1.5407265424728394
87,Zn,-1.26494038105011
88,Zr,-8.539467493693033
