,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.2728
2,Ac2Ag2As4,-0.75242
3,Ac2Ag2Bi4,-0.56697
4,CaAcInAg,-0.39024
5,CaAcAgPb,-0.46905
6,Ac2Cd4Ag2,-0.31745
7,AcEuAgPb,-0.46659
8,AcEuAgSn,-0.54376
9,AcAgGe,-0.56175
10,AcAgHg,-0.41591
11,Ac3In3Ag3,-0.41984
12,Ac2Mg4Ag2,-0.22049
13,Ac3Ag3O6,-2.20632
14,Ac4Ag4O12,-1.74292
15,AcAgPb,-0.42209
16,Ac2Ag2Pd2,-0.59387
17,Ac2Ag2Sb4,-0.70594
18,AcAgSn,-0.5672
19,AcAgTe2,-0.82788
20,AcZnAg,-0.32321
21,Ac2Ag4,-0.32244
22,AcAg2Ge2,-0.45355
23,Li2AcAg2,-0.23217
24,Ac2Mg8Ag4,-0.2164
25,Ac2Ag4Pd2,-0.45211
26,AcSi2Ag2,-0.42278
27,Ac2Ag4Sn4,-0.44607
28,Ac2Ag6,-0.27473
29,AcCdAg4,-0.22724
30,AcCd8Ag4,-0.16192
31,AcAg4Hg,-0.23426
32,AcInAg4,-0.26558
33,AcPmAg4,-0.30357
34,AcTlAg4,-0.22753
35,AcIn6Ag6,-0.20319
36,AcAl4Ag8,-0.20778
37,AcZn4Ag8,-0.15076
38,Ac2Al2Br2,-1.16478
39,AcAlGa,-0.53998
40,AcAlGe,-0.62039
41,Ac2Al2I2,-0.95324
42,Ac2Al2In2,-0.43954
43,Ac4Al4Ir4,-0.72911
44,AcAlO3,-3.33445
45,AcAlPd2,-0.87752
46,Ac4Al4Pt4,-1.0011
47,Ac4Al4Pt8,-1.14364
48,AcAlSi,-0.57371
49,Ac2Al2Zn2,-0.34699
50,Ac2Al4,-0.35968
51,Ac2Al4Au4,-0.73615
52,Ac2Al4Au6,-0.70509
53,AcAl2Cd2,-0.3307
54,Ac2Al4Cu2,-0.36076
55,Ac2Al4Cu6,-0.34239
56,AcAl2Ga2,-0.44186
57,Ac2Al4Ir2,-0.74066
58,Ac2Al4Ir4,-0.82369
59,Li4Ac4Al8,-0.28483
60,Ac2Al4Ni2,-0.51631
61,Ac2Al4Pd2,-0.68856
62,Ac2Al4Pt2,-0.88518
63,Ac2Al4Rh2,-0.72735
64,Ac2Al6,-0.36286
65,Ac2Al6Cu4,-0.35294
66,Ac2Al6Ni4,-0.57563
67,Ac2Al6Pd4,-0.77924
68,Sr2Ac2Al6,-0.30518
69,AcAl4,-0.31951
70,Ac2Al8Co2,-0.45448
71,AcEuAl4,-0.38238
72,Ac2Al8Fe2,-0.37834
73,AcAl5Cu2,-0.34889
74,AcAl5Ir2,-0.76685
75,AcAl5Ni2,-0.57557
76,AcAl5Pd2,-0.69522
77,AcAl5Pt2,-0.88041
78,AcAl5Rh2,-0.76018
79,AcAl6Pd,-0.47436
80,AcAl6Pt,-0.56982
81,AcAl9Co2,-0.42988
82,AcAl9Fe2,-0.35252
83,AcAs,-1.4802
84,Ac2Cd2As2O2,-1.82492
85,Ac2Cr2As2O2,-1.20537
86,Ac2Cu2As2O2,-1.75192
87,Ac2As2Ir2O2,-1.84851
88,LiAcAs,-0.99304
89,Ac2Mn2As2O2,-1.37696
90,Ac2Nb2As2O2,-1.89759
91,Ac2As2Pd2O2,-1.90042
92,Ac2As2Pt2O2,-1.87563
93,Ac2As2Rh2O2,-1.96617
94,Ac2As2Ru2O2,-1.90019
95,Ac2Tc2As2O2,-1.77327
96,Ac2V2As2O2,-1.20565
97,Ac2Zn2As2O2,-1.87746
98,Ac2As2O8,-2.43554
99,AcAsPd,-1.20129
100,AcAsRh,-1.06854
101,Ac2As2S2,-1.57209
102,Ac2Cu2As4,-0.7961
103,Ac2Ni4As4,-0.80374
104,Ac2As4Pd4,-0.92715
105,Ac2As4Pd8,-0.7476
106,Ac2As4Rh4,-0.92987
107,AcAs2Ru2,-0.745
108,AcAu,-0.77656
109,Ac2Cd4Au2,-0.50907
110,AcCuAu,-0.57144
111,Ac2Ga2Au2,-0.76553
112,AcGeAu,-0.82171
113,Ac2H2Au2,-0.71195
114,Ac2Hg2Au2,-0.67737
115,Ac2La4Au2,-0.42625
116,Ac4Mg4Au4,-0.61667
117,Ac2Mg4Au2,-0.49415
118,Ac2Au2O4,-2.20898
119,Ac4Au4O12,-1.78363
120,Ac2P2Au2,-1.00236
121,AcPbAu,-0.69227
122,AcPdAu,-0.82966
123,Ac2Pt2Au2,-0.94821
124,Ac4Au4S8,-1.40997
125,AcSbAu,-0.89925
126,Ac2Sb4Au2,-0.72331
127,Ac2Sc2Au2,-0.5994
128,AcSiAu,-0.78632
129,AcSnAu,-0.79732
130,Ac4Te8Au4,-1.06615
131,AcZnAu,-0.64753
132,AcPd2Au10,-0.294
133,AcAu2,-0.84119
134,AcCd5Au2,-0.36497
135,Ac2Ga4Au4,-0.67977
136,Ac2Ge4Au4,-0.61396
137,AcIn2Au2,-0.61841
138,Li2AcAu2,-0.64294
139,Li8Ac2Au4,-0.50261
140,Ac2Mg8Au4,-0.52105
141,Ac2Sn4Au4,-0.64246
142,AcZn2Au2,-0.57239
143,Ac2Au6,-0.72353
144,Ac2Zn4Au6,-0.54473
145,AcCd2Au4,-0.53937
146,AcLaAu4,-0.83048
147,Li2AcAu4,-0.67117
148,AcMg2Au4,-0.70089
149,AcSi2Au4,-0.47671
150,AcCu4Au8,-0.2711
151,AcBi2Au9,-0.2818
152,Ac4B4Ir4,-0.59545
153,Ac2B2N2,-0.96129
154,Ac2B2O6,-3.1163
155,AcBRh3,-0.62386
156,AcB12,-0.06515
157,Ac2B4Ir4,-0.66902
158,Ac2B4Os4,-0.38113
159,Ac2B4Pt12,-0.59355
160,Ac2B4Rh4,-0.60694
161,Ac2B4Ru4,-0.4593
162,AcNbB4,-0.3418
163,AcPmB4,-0.14126
164,AcTaB4,-0.35169
165,AcCo12B6,-0.32842
166,AcB6Ir12,-0.29503
167,AcNi12B6,-0.38503
168,AcB6Rh12,-0.41309
169,BaAcHg4,-0.4849
170,Ba2Ac2Si6,-0.48806
171,Ba2AcCd3,-0.3147
172,Ba2AcHg3,-0.51575
173,Ba2AcIrO6,-2.27895
174,Ba2AcRuO6,-2.35693
175,Ba2AcSbO6,-2.61504
176,Ba4AcCd5,-0.31803
177,Ba4AcHg5,-0.51996
178,Ba5AcS6,-2.08047
179,Ba5AcSe6,-2.02481
180,AcBeGe,-0.50345
181,Ac2Be2Pd6,-0.70391
182,AcBeSi,-0.43793
183,AcBi,-1.00546
184,LiAcBi,-0.72139
185,Ac2Bi2O8,-2.00733
186,AcBiPd,-0.92283
187,AcBiPt,-0.95526
188,Ac2Bi2Se2,-1.42334
189,Ac2Sn2Bi2,-0.69032
190,Li2Ac2Bi4,-0.73156
191,Ac2Bi4Pd4,-0.68697
192,Ac2Bi4Rh2,-0.60434
193,AcBi3,-0.52815
194,Ac4Hf4Bi12,-0.4957
195,Ac2Mg6Bi6,-0.43996
196,Ac2Bi6S12,-0.83556
197,Ac2Bi6Se12,-0.80528
198,Ac4Ti4Bi12,-0.50547
199,Ac2Ga2Br2,-1.2938
200,Ac2Ir2Br2,-1.34083
201,Ac2Br2N2,-1.50508
202,Ac2Br2O2,-3.03316
203,Ac2Rh2Br2,-1.30702
204,Ac2Si2Br2,-1.2753
205,Ac2Br6,-2.12245
206,Cs3AcBr6,-1.95795
207,Rb6Ac2Br12,-1.92873
208,Ac2C2F2,-1.964
209,Ac4C4N8,-0.69909
210,AcRh3C,-0.27611
211,AcC2,-0.07439
212,AcCoC2,-0.14455
213,AcNiC2,-0.13734
214,AcRuC2,-0.04839
215,CaAcCdIn,-0.42625
216,CaAcTlCd,-0.39853
217,CaAcZnGa,-0.37869
218,Ca2Ac2Ga6,-0.56371
219,CaAcInHg,-0.51341
220,CaAcTlHg,-0.49241
221,CaAcHg2,-0.54652
222,CaAcZnIn,-0.3702
223,CaAcMgTl,-0.26101
224,CaAcMg4,-0.09377
225,CaAcPd4,-0.74234
226,CaAcPt2,-1.04589
227,CaAcPt4,-0.99159
228,CaAcRh4,-0.5056
229,Ca2Ac2Si6,-0.53343
230,CaAcZn2,-0.26641
231,Ca4Ac2Ir2,-0.37179
232,Ca4Ac2Rh2,-0.37622
233,Ac2Cd2,-0.29526
