,composition,Formation Energy (eV/atom)
177,Ba4AcHg5,-0.52045
178,Ba5AcS6,-2.0792
179,Ba5AcSe6,-2.02201
180,AcBeGe,-0.49399
181,Ac2Be2Pd6,-0.70884
182,AcBeSi,-0.42783
183,AcBi,-1.00166
184,LiAcBi,-0.72035
185,Ac2Bi2O8,-1.99282
186,AcBiPd,-0.92126
187,AcBiPt,-0.95595
188,Ac2Bi2Se2,-1.41822
189,Ac2Sn2Bi2,-0.68556
190,Li2Ac2Bi4,-0.72635
191,Ac2Bi4Pd4,-0.687
192,Ac2Bi4Rh2,-0.60493
193,AcBi3,-0.5306
194,Ac4Hf4Bi12,-0.4883
195,Ac2Mg6Bi6,-0.44107
196,Ac2Bi6S12,-0.83368
197,Ac2Bi6Se12,-0.80271
198,Ac4Ti4Bi12,-0.49355
199,Ac2Ga2Br2,-1.28804
200,Ac2Ir2Br2,-1.33259
201,Ac2Br2N2,-1.50672
202,Ac2Br2O2,-3.01891
203,Ac2Rh2Br2,-1.29945
204,Ac2Si2Br2,-1.26561
205,Ac2Br6,-2.1051
206,Cs3AcBr6,-1.93809
207,Rb6Ac2Br12,-1.91284
208,Ac2C2F2,-1.97773
209,Ac4C4N8,-0.70504
210,AcRh3C,-0.28317
211,AcC2,-0.07979
212,AcCoC2,-0.14938
213,AcNiC2,-0.14319
214,AcRuC2,-0.07318
215,CaAcCdIn,-0.43294
216,CaAcTlCd,-0.40528
217,CaAcZnGa,-0.38829
218,Ca2Ac2Ga6,-0.56509
219,CaAcInHg,-0.51953
220,CaAcTlHg,-0.49782
221,CaAcHg2,-0.54644
222,CaAcZnIn,-0.37835
223,CaAcMgTl,-0.26652
224,CaAcMg4,-0.10161
225,CaAcPd4,-0.74095
226,CaAcPt2,-1.04874
227,CaAcPt4,-1.00077
228,CaAcRh4,-0.50404
229,Ca2Ac2Si6,-0.53426
230,CaAcZn2,-0.27281
231,Ca4Ac2Ir2,-0.38053
232,Ca4Ac2Rh2,-0.38514
233,Ac2Cd2,-0.29805
234,AcEuCdIn,-0.416
235,AcEuTlCd,-0.3865
236,AcCdHg2,-0.41906
237,Ac2Cd2In2,-0.44781
238,SrAcCdIn,-0.40267
239,Ac6Mg6Cd6,-0.24475
240,Ac2Cd2P2O2,-1.78915
241,Ac4Cd4Pd8,-0.68918
242,Ac4Cd4Pt4,-0.84919
243,AcCdPt4,-0.77384
244,AcCdSn,-0.53191
245,SrAcTlCd,-0.38059
246,Ac2Tl2Cd2,-0.3553
247,AcCd12,-0.1435
248,Ac2Cd4,-0.34461
249,AcEuCd2,-0.34382
250,Ac2Cd4In2,-0.37933
251,Ac4Mg4Cd8,-0.27553
252,Ac2Cd4Ni2,-0.29688
253,Ac2Cd4Pd2,-0.56636
254,AcCd2Pd4,-0.58312
255,Ac2Cd4Pt2,-0.65682
256,AcCd2Pt2,-0.7252
257,Ac2Cd4Rh2,-0.46478
258,AcZn2Cd2,-0.29047
259,Ac2Cd6,-0.31294
260,AcMg8Cd4,-0.14623
261,Ac2Cd8Pt4,-0.55587
262,AcZn2Cd4,-0.24391
263,AcMg4Cd8,-0.19023
264,AcCeGa4,-0.61224
265,AcCeIr,-0.40745
266,Ac2Ir2Cl2,-1.47733
267,Ac2N2Cl2,-1.66841
268,Ac2Cl2O2,-3.18627
269,AcSeCl,-2.22334
270,Ac2Cl6,-2.49476
271,Cs3AcCl6,-2.20064
272,Rb6Ac2Cl12,-2.18088
273,Ac2Co2Ge4,-0.592
274,AcCoGe3,-0.55697
275,AcCoH6,-0.43963
276,Ac2Co2N6,-0.56974
277,Ac2Co2Si2,-0.59122
278,Ac2Ga6Co4,-0.41477
279,AcGa5Co2,-0.42565
280,AcCo2Si2,-0.60673
281,Ac2Cr2P2O2,-1.23085
282,Ac4Cr4O12,-2.38217
283,Ac2Cr2O8,-2.03433
284,CsAcF4,-3.80918
285,CsAcO2,-2.53252
286,CsAcS2,-1.87575
287,Cs2Ac2Tb2Te6,-1.29294
288,CsAcTe2,-1.50154
289,Cs6Ac2I12,-1.57319
290,AcCuF6,-2.87482
291,AcGa6Cu,-0.37018
292,Ac3Cu3Ge3,-0.58354
293,Ac2Cu2I2,-0.81117
294,Ac2In8Cu2,-0.3133
295,Ac2Mg4Cu2,-0.14798
296,Ac2Cu2Ni2,-0.25028
297,Ac2Cu2P2O2,-1.76327
298,Ac3Cu3O6,-2.32547
299,Ac4Cu4O12,-2.04845
300,Ac4Cu4Pb4,-0.37916
301,Ac2Cu2Sb4Pd2,-0.70737
302,Ac2Cu2Sb4,-0.68056
303,AcCuSi,-0.52419
304,AcCuSn,-0.48867
305,AcCu2,-0.20886
306,Ac2Ga4Cu4,-0.39392
307,AcCu2Ge2,-0.50249
308,AcCu2P2,-0.70064
309,AcCu2Si2,-0.50282
310,Ac2Zn4Cu6,-0.2217
311,AcCu4F12,-2.2046
312,AcCu5,-0.11603
313,Ac2Dy2Hg2,-0.32607
314,Ac2Dy2Te6,-1.513
315,Ac2Dy4S8,-2.12264
316,Ac2Dy4Se8,-1.92153
317,Ac2Dy6Se12,-1.93654
318,AcErGa4,-0.61507
319,Ac4Er4O12,-3.54174
320,Ac2Er2Te6,-1.50634
321,Ac2Er2Tl2,-0.25852
322,Ac2Er4S8,-2.11756
323,Ac2Er4Se8,-1.90812
324,Ac2Er6S12,-2.13754
325,Ac2Er6Se12,-1.92786
326,AcEuTlHg,-0.4776
327,AcEuHg2,-0.54189
328,AcEuIr,-0.46613
329,AcEuPd4,-0.7529
330,AcEuPt4,-1.00931
331,AcEuRh,-0.42091
332,AcEuRh4,-0.52274
333,AcEuZn2,-0.27536
334,Ac2Ge2F2,-2.30212
335,Ac2O2F2,-3.91437
336,Ac4P4F4,-2.53123
337,AcSF,-3.13058
338,Ac2Se2F2,-3.08731
339,Ac2Te2F2,-2.84703
340,Ac2F6,-4.32518
341,KAcF4,-3.84587
342,RbAcF4,-3.82533
343,Ac2Tl2F8,-3.47018
344,AcFeH6,-0.31862
345,Ac4Fe4O12,-1.98638
346,Ac2Fe2Si2,-0.49143
347,AcFe4Sb12,-0.22399
348,AcGaGe,-0.6815
349,Ac2Ga2I2,-1.08303
350,AcGaIr,-0.67782
351,Ac2Mg2Ga2,-0.38879
352,Ac2Ga2N2,-0.91837
353,AcGaNi2,-0.48019
354,Ac4Ga4O12,-2.70632
355,AcGaPd,-0.79027
356,Ac4Ga4Pd8,-0.83622
357,AcGaPt,-0.97391
358,Ac4Ga4Pt8,-1.03725
359,Ac4Ga4Rh4,-0.74172
360,Ac2Ga2Ru2,-0.47631
361,AcGaSi,-0.62041
362,AcGaSn,-0.64971
363,Ac2Ga4,-0.61264
364,AcGa2Hg2,-0.41593
365,Ac4In4Ga8,-0.50659
366,AcGa2Ir2,-0.68781
367,AcGa2Ir3,-0.6513
368,Ac4Mg4Ga8,-0.48357
369,AcMg4Ga2,-0.29492
370,Ac2Nd2Ga4,-0.54948
371,Ac2Ga4Pd4,-0.80975
372,Ac2Ga4Pt4,-0.96785
373,AcGa2Rh3,-0.81214
374,Ac2Ga6,-0.53741
375,Ac2Ga6Ni4,-0.52708
376,Ac2Ga6Pt2,-0.80875
377,Ac2Ga6Ru4,-0.46171
378,AcGa4,-0.47713
379,AcHoGa4,-0.62435
380,LiAcGa4,-0.47103
381,AcGa4Pd6,-0.75329
382,AcPmGa4,-0.65616
383,AcGa4Pt6,-0.79031
384,AcGa5Ir2,-0.57276
385,AcGa5Ni2,-0.50616
386,AcGa5Rh2,-0.63585
387,AcGa6Ir,-0.48994
388,AcGa6Ni,-0.43605
389,AcGa6Pd,-0.5126
390,AcGa6Pt,-0.56332
391,AcGa6Pt4,-0.77116
392,AcGa6Rh,-0.52021
393,AcGdIr,-0.51642
394,Ac2Ge2,-0.69436
395,AcGeIr,-0.73349
396,Li4Ac4Ge4,-0.61072
397,Ac2Mg2Ge2,-0.53361
398,Ac4Ge4N4,-0.84421
399,Ac4Ge4N8,-0.65931
400,NaAcGe,-0.39056
401,AcNi2Ge,-0.5201
402,AcGePd,-0.88761
403,Ac2Ge2Pd6,-0.78909
404,AcPmGe,-0.44764
405,AcGePt,-1.03573
406,Ac2Ge2Rh4,-0.75179
407,Ac2Ge2Ru2,-0.61154
408,Ac4Ge4S12,-1.29354
409,Ac2Si2Ge2,-0.59341
410,AcZnGe,-0.62605
411,AcGe12Pt4,-0.42268
412,AcGe2,-0.60561
413,Ac2Ge4Ir4,-0.73899
414,K4Ac4Ge8,-0.45671
415,Li4Ac4Ge8,-0.64605
416,Na4Ac4Ge8,-0.46229
417,AcNi2Ge2,-0.61881
418,Ac2Ge4Pd4,-0.82331
419,Ac2Ge4Pt2,-0.90338
420,Ac2Ge4Pt4,-0.93624
