,composition,type,cell,positions,numbers
9251,Cr2ZnGe,inverse,"[[2.69998514, 2.69998514, -0.0], [-2.69998514, 2.69998514, -0.0], [0.0, 0.0, 7.6071786]]","[[0.4999999999999999, 4.111959759249477e-17, 0.24999999999999997], [0.9999999999999998, 0.4999999999999998, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.111959759249477e-17, 0.7499999999999998], [0.9999999999999998, 0.4999999999999998, 0.24999999999999997], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.49999999999999983]]","[24, 24, 24, 24, 30, 30, 32, 32]"
9651,Cr2RuGe,full,"[[2.49365065, 2.49365065, 0.0], [-2.49365065, 2.49365065, -0.0], [0.0, 0.0, 8.27712468]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 44, 44, 32, 32]"
9893,Cr2PdAs,full,"[[3.17737277, 3.17737277, -0.0], [-3.17737277, 3.17737277, -0.0], [-0.0, -0.0, 6.13216321]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 46, 46, 33, 33]"
10527,CrIrIn,half,"[[-0.0, 2.97798331, 2.97798331], [2.97798331, -0.0, 2.97798331], [2.97798331, 2.97798331, -0.0]]","[[0.25, 0.25, 0.2499999999999999], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[24, 77, 49]"
15107,FeNbGa,half,"[[2.91605709, 2.91605709, 0.0], [-2.91605709, 2.91605709, -0.0], [0.0, 0.0, 5.83922475]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[26, 26, 41, 41, 31, 31]"
15272,Fe2RuAs,full,"[[2.56544887, 2.56544887, -0.0], [-2.56544887, 2.56544887, 0.0], [-0.0, -0.0, 8.09270415]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 44, 44, 33, 33]"
15419,Fe2RhBi,full,"[[2.74045428, 2.74045428, 0.0], [-2.74045428, 2.74045428, -0.0], [-0.0, -0.0, 8.50995618]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 45, 45, 83, 83]"
15452,FePdSi,half,"[[-0.0, 2.7942945, 2.7942945], [2.7942945, 0.0, 2.7942945], [2.7942945, 2.7942945, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 46, 14]"
16651,CoVIn,half,"[[0.0, 2.92901993, 2.92901993], [2.92901993, 0.0, 2.92901993], [2.92901993, 2.92901993, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[27, 23, 49]"
17602,CoYGe,half,"[[3.07295526, 3.07295526, 0.0], [-3.07295526, 3.07295526, 0.0], [0.0, 0.0, 6.13955558]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 39, 39, 32, 32]"
17884,CoMoBi,half,"[[3.02730241, 3.02730241, -0.0], [-3.02730241, 3.02730241, -0.0], [-0.0, -0.0, 6.05430808]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[27, 27, 42, 42, 83, 83]"
19913,NiZnSn,half,"[[2.97868417, 2.97868417, 0.0], [-2.97868417, 2.97868417, -0.0], [-0.0, 0.0, 5.93018575]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 30, 30, 50, 50]"
20138,Ni2MoSn,full,"[[2.9023715, 2.9023715, 0.0], [-2.9023715, 2.9023715, -0.0], [-0.0, -0.0, 6.84588218]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 42, 42, 50, 50]"
23201,CuOsSi,half,"[[2.40401898, 2.40401898, -0.0], [-2.40401898, 2.40401898, 0.0], [0.0, 0.0, 8.04314526]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 29, 76, 76, 14, 14]"
23521,Zn2ScGa,full,"[[2.92141164, 2.92141164, 0.0], [-2.92141164, 2.92141164, 0.0], [-0.0, -0.0, 8.0957855]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 21, 21, 31, 31]"
23746,ZnTiBi,half,"[[2.96837387, 2.96837387, 0.0], [-2.96837387, 2.96837387, 0.0], [0.0, -0.0, 8.13816519]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 22, 22, 83, 83]"
23842,Zn2VTl,full,"[[2.80787428, 2.80787428, -0.0], [-2.80787428, 2.80787428, 0.0], [0.0, 0.0, 9.01162948]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 23, 23, 81, 81]"
25781,Zn2IrGe,full,"[[2.67718088, 2.67718088, 0.0], [-2.67718088, 2.67718088, -0.0], [0.0, 0.0, 8.16925181]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 77, 77, 32, 32]"
25794,ZnIrAs,half,"[[2.52492456, 2.52492456, 0.0], [-2.52492456, 2.52492456, 0.0], [0.0, 0.0, 8.2952002]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 77, 77, 33, 33]"
26225,YVGa,half,"[[2.55342772, 2.55342772, -0.0], [-2.55342772, 2.55342772, 0.0], [0.0, 0.0, 10.09049698]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 23, 23, 31, 31]"
27049,Y2NbIn,full,"[[3.2377695, 3.2377695, -0.0], [-3.2377695, 3.2377695, 0.0], [0.0, 0.0, 9.40732835]]","[[0.5, 3.4289748687334185e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.4289748687334185e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[39, 39, 39, 39, 41, 41, 49, 49]"
27300,Y2PdGe,full,"[[-0.0, 3.54885311, 3.54885311], [3.54885311, -0.0, 3.54885311], [3.54885311, 3.54885311, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.7500000000000002, 0.7500000000000002, 0.7499999999999998], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]","[39, 39, 46, 32]"
28028,YAuAs,half,"[[3.71679624, 3.71679624, -0.0], [-3.71679624, 3.71679624, -0.0], [-0.0, 0.0, 5.51433679]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[39, 39, 79, 79, 33, 33]"
29730,ZrTaPb,half,"[[2.88779385, 2.88779385, 0.0], [-2.88779385, 2.88779385, -0.0], [-0.0, -0.0, 9.14908449]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[40, 40, 73, 73, 82, 82]"
31610,Nb2CdSb,full,"[[3.00227906, 3.00227906, 0.0], [-3.00227906, 3.00227906, 0.0], [-0.0, -0.0, 8.78481956]]","[[0.49999999999999983, 3.697934144153663e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.7499999999999999], [0.49999999999999983, 3.697934144153663e-17, 0.7499999999999999], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]","[41, 41, 41, 41, 48, 48, 51, 51]"
32290,MoTiSi,half,"[[2.57975268, 2.57975268, 0.0], [-2.57975268, 2.57975268, 0.0], [-0.0, -0.0, 7.81749265]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 22, 22, 14, 14]"
32955,Mo2CuSb,full,"[[2.7339315, 2.7339315, -0.0], [-2.7339315, 2.7339315, -0.0], [-0.0, -0.0, 8.63430912]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 42, 42, 29, 29, 51, 51]"
33335,Mo2RuAl,full,"[[2.59733454, 2.59733454, -0.0], [-2.59733454, 2.59733454, -0.0], [-0.0, -0.0, 8.82218211]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[42, 42, 42, 42, 44, 44, 13, 13]"
34221,Ru2ScAl,full,"[[0.0, 3.11022593, 3.11022593], [3.11022593, -0.0, 3.11022593], [3.11022593, 3.11022593, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[44, 44, 21, 13]"
34360,Ru2VSn,inverse,"[[2.67960816, 2.67960816, 0.0], [-2.67960816, 2.67960816, -0.0], [0.0, -0.0, 8.50923249]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 44, 44, 23, 23, 50, 50]"
34521,RuMnSb,half,"[[3.03962289, 3.03962289, 0.0], [-3.03962289, 3.03962289, 0.0], [0.0, 0.0, 6.1045807]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 25, 25, 51, 51]"
37279,RhCdPb,half,"[[3.25014766, 3.25014766, -0.0], [-3.25014766, 3.25014766, -0.0], [0.0, 0.0, 6.47951169]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000002], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]","[45, 45, 48, 48, 82, 82]"
38163,PdMnAs,half,"[[2.99352684, 2.99352684, 0.0], [-2.99352684, 2.99352684, 0.0], [-0.0, -0.0, 5.988847]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 25, 25, 33, 33]"
38511,PdCuBi,half,"[[-0.0, 3.15088448, 3.15088448], [3.15088448, 0.0, 3.15088448], [3.15088448, 3.15088448, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[46, 29, 83]"
39724,PdAuTl,half,"[[3.25653323, 3.25653323, 0.0], [-3.25653323, 3.25653323, 0.0], [-0.0, 0.0, 6.34209843]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 79, 79, 81, 81]"
39738,Ag2ScSi,full,"[[2.85642646, 2.85642646, -0.0], [-2.85642646, 2.85642646, -0.0], [0.0, 0.0, 8.85259201]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 21, 21, 14, 14]"
41122,Ag2RhTl,full,"[[2.83988476, 2.83988476, -0.0], [-2.83988476, 2.83988476, -0.0], [0.0, 0.0, 9.02433228]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 45, 45, 81, 81]"
41338,AgHfGe,half,"[[2.72747242, 2.72747242, 0.0], [-2.72747242, 2.72747242, -0.0], [0.0, 0.0, 8.70290442]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[47, 47, 72, 72, 32, 32]"
41593,AgReSi,half,"[[2.3854901, 2.3854901, -0.0], [-2.3854901, 2.3854901, 0.0], [0.0, 0.0, 9.41117371]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[47, 47, 75, 75, 14, 14]"
41804,AgIrAl,half,"[[2.46227794, 2.46227794, 0.0], [-2.46227794, 2.46227794, 0.0], [-0.0, 0.0, 9.05313122]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 77, 77, 13, 13]"
42601,CdFeIn,half,"[[2.63527811, 2.63527811, 0.0], [-2.63527811, 2.63527811, 0.0], [0.0, 0.0, 9.42359282]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[48, 48, 26, 26, 49, 49]"
43568,Cd2RuBi,full,"[[2.95156298, 2.95156298, -0.0], [-2.95156298, 2.95156298, 0.0], [-0.0, -0.0, 9.4854508]]","[[0.5, 3.7614749613953916e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.7614749613953916e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.5, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.5, 0.5]]","[48, 48, 48, 48, 44, 44, 83, 83]"
44301,Cd2ReBi,full,"[[2.94034875, 2.94034875, 0.0], [-2.94034875, 2.94034875, 0.0], [0.0, 0.0, 9.67584395]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[48, 48, 48, 48, 75, 75, 83, 83]"
48102,Ta2CdSi,full,"[[2.8641342, 2.8641342, -0.0], [-2.8641342, 2.8641342, -0.0], [-0.0, -0.0, 8.4897616]]","[[0.5, 3.876295407614478e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.7499999999999998], [0.5, 3.876295407614478e-17, 0.7499999999999998], [0.9999999999999999, 0.4999999999999999, 0.25], [0.9999999999999997, 0.9999999999999999, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[73, 73, 73, 73, 48, 48, 14, 14]"
49708,W2NbSb,full,"[[2.76176776, 2.76176776, -0.0], [-2.76176776, 2.76176776, 0.0], [0.0, 0.0, 9.34298313]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[74, 74, 74, 74, 41, 41, 51, 51]"
50210,W2HfIn,full,"[[2.84199311, 2.84199311, -0.0], [-2.84199311, 2.84199311, 0.0], [0.0, 0.0, 9.15595609]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[74, 74, 74, 74, 72, 72, 49, 49]"
51189,Re2CoBi,full,"[[2.7569953, 2.7569953, 0.0], [-2.7569953, 2.7569953, 0.0], [0.0, 0.0, 8.42282579]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[75, 75, 75, 75, 27, 27, 83, 83]"
54483,Ir2CoSi,full,"[[2.75515236, 2.75515236, 0.0], [-2.75515236, 2.75515236, -0.0], [0.0, 0.0, 6.83220908]]","[[0.5, 4.0296247886093555e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.5, 4.0296247886093555e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[77, 77, 77, 77, 27, 27, 14, 14]"
54724,Ir2ZnPb,full,"[[3.03616766, 3.03616766, -0.0], [-3.03616766, 3.03616766, -0.0], [0.0, 0.0, 7.2089729]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 30, 30, 82, 82]"
55049,IrRuTl,half,"[[3.09615764, 3.09615764, 0.0], [-3.09615764, 3.09615764, -0.0], [0.0, 0.0, 6.17881742]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 44, 44, 81, 81]"
55089,Ir2RhAs,full,"[[2.83441231, 2.83441231, 0.0], [-2.83441231, 2.83441231, 0.0], [0.0, 0.0, 7.37842357]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 45, 45, 33, 33]"
55767,IrPtPb,half,"[[3.16140227, 3.16140227, -0.0], [-3.16140227, 3.16140227, 0.0], [-0.0, -0.0, 6.30291287]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 78, 78, 82, 82]"
56778,Pt2MoSb,full,"[[2.82847276, 2.82847276, -0.0], [-2.82847276, 2.82847276, 0.0], [0.0, 0.0, 8.48391646]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 42, 42, 51, 51]"
56927,PtRhGe,half,"[[2.57966064, 2.57966064, -0.0], [-2.57966064, 2.57966064, 0.0], [0.0, 0.0, 7.7928567]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 45, 45, 32, 32]"
58541,AuYPb,half,"[[3.42375234, 3.42375234, 0.0], [-3.42375234, 3.42375234, -0.0], [-0.0, -0.0, 6.84474068]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 39, 39, 82, 82]"
59170,AuCdSn,half,"[[-0.0, 3.32627087, 3.32627087], [3.32627087, -0.0, 3.32627087], [3.32627087, 3.32627087, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[79, 48, 50]"
