,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
51189,Re2CoBi,full,"[[2.7569953, 2.7569953, 0.0], [-2.7569953, 2.7569953, 0.0], [0.0, 0.0, 8.42282579]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[75, 75, 75, 75, 27, 27, 83, 83]",-7.9676037725,0.9592636199999998,1.01478664375
54483,Ir2CoSi,full,"[[2.75515236, 2.75515236, 0.0], [-2.75515236, 2.75515236, -0.0], [0.0, 0.0, 6.83220908]]","[[0.5, 4.0296247886093555e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.5, 4.0296247886093555e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[77, 77, 77, 77, 27, 27, 14, 14]",-7.79823816875,-0.2555326350000007,0.1399219887499996
54724,Ir2ZnPb,full,"[[3.03616766, 3.03616766, -0.0], [-3.03616766, 3.03616766, -0.0], [0.0, 0.0, 7.2089729]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 30, 30, 82, 82]",-5.34290687,0.2561731062499994,0.3555854546646336
55049,IrRuTl,half,"[[3.09615764, 3.09615764, 0.0], [-3.09615764, 3.09615764, -0.0], [0.0, 0.0, 6.17881742]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 44, 44, 81, 81]",-6.034116923333333,0.7331714191666663,0.7577323287499992
55089,Ir2RhAs,full,"[[2.83441231, 2.83441231, 0.0], [-2.83441231, 2.83441231, 0.0], [0.0, 0.0, 7.37842357]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 45, 45, 33, 33]",-7.20803475375,0.202329527499999,0.4710225221874988
55767,IrPtPb,half,"[[3.16140227, 3.16140227, -0.0], [-3.16140227, 3.16140227, 0.0], [-0.0, -0.0, 6.30291287]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 78, 78, 82, 82]",-5.861978491666666,0.3186564116666671,0.4790794383333333
56778,Pt2MoSb,full,"[[2.82847276, 2.82847276, -0.0], [-2.82847276, 2.82847276, 0.0], [0.0, 0.0, 8.48391646]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 42, 42, 51, 51]",-6.76282520375,0.0553865824999997,0.4555638512499994
56927,PtRhGe,half,"[[2.57966064, 2.57966064, -0.0], [-2.57966064, 2.57966064, 0.0], [0.0, 0.0, 7.7928567]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 45, 45, 32, 32]",-5.992342818333333,-0.0322158149999995,0.4418232700000004
58541,AuYPb,half,"[[3.42375234, 3.42375234, 0.0], [-3.42375234, 3.42375234, -0.0], [-0.0, -0.0, 6.84474068]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 39, 39, 82, 82]",-5.105092695,-0.6956502249999996,0.0
59170,AuCdSn,half,"[[-0.0, 3.32627087, 3.32627087], [3.32627087, -0.0, 3.32627087], [3.32627087, 3.32627087, 0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[79, 48, 50]",-2.80541832,-0.2007073333333332,0.0325857422837337
59236,AuHfTl,half,"[[3.26322721, 3.26322721, -0.0], [-3.26322721, 3.26322721, 0.0], [-0.0, -0.0, 6.52645631]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 72, 72, 81, 81]",-5.271768391666667,-0.1522242508333331,0.2112437975000004
63434,Lu2NbTl,full,"[[3.18169452, 3.18169452, 0.0], [-3.18169452, 3.18169452, -0.0], [-0.0, -0.0, 9.33892967]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[71, 71, 71, 71, 41, 41, 81, 81]",-5.200422965,0.1035642556250007,0.2836831172916673
65425,Sc2HfSb,inverse,"[[3.05191914, 3.05191914, 0.0], [-3.05191914, 3.05191914, -0.0], [0.0, 0.0, 9.59864081]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 72, 72, 51, 51]",-7.03229766125,-0.3910624725000007,0.198064033749999
65593,Sc2RePb,inverse,"[[2.99642779, 2.99642779, -0.0], [-2.99642779, 2.99642779, -0.0], [0.0, 0.0, 8.99174409]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 75, 75, 82, 82]",-7.0305352475,0.0886134962500007,0.5065882771875001
66673,Ti2HfP,full,"[[2.71130665, 2.71130665, -0.0], [-2.71130665, 2.71130665, -0.0], [-0.0, -0.0, 9.03925322]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 72, 72, 15, 15]",-8.14377806875,-0.4083378871428573,0.5522191944902595
69052,Cr2MoGa,inverse,"[[3.03173458, 3.03173458, -0.0], [-3.03173458, 3.03173458, 0.0], [0.0, 0.0, 6.05917336]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 42, 42, 31, 31]",-8.079430425,0.1371596700000008,0.2262120666666676
69501,Cr2TaGa,inverse,"[[2.62878893, 2.62878893, 0.0], [-2.62878893, 2.62878893, 0.0], [0.0, 0.0, 8.24186213]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 73, 73, 31, 31]",-8.3201359875,0.1169788974999992,0.2582735552403839
70658,Mn2RuAs,inverse,"[[2.66958057, 2.66958057, -0.0], [-2.66958057, 2.66958057, -0.0], [-0.0, -0.0, 7.51281197]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[25, 25, 25, 25, 44, 44, 33, 33]",-8.0506476425,-0.1461661074999991,0.0121849238649426
72337,Fe2AgAs,inverse,"[[2.71768403, 2.71768403, -0.0], [-2.71768403, 2.71768403, 0.0], [0.0, 0.0, 7.9275756]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[26, 26, 26, 26, 47, 47, 33, 33]",-5.667511265,0.3149487962500004,0.4216328456250009
73863,Co2CdBi,inverse,"[[2.7847441, 2.7847441, 0.0], [-2.7847441, 2.7847441, 0.0], [-0.0, 0.0, 8.93847971]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 27, 27, 48, 48, 83, 83]",-4.121359495,0.5544429449999999,0.5628884949999997
74904,Ni2RuGe,inverse,"[[2.71704553, 2.71704553, -0.0], [-2.71704553, 2.71704553, 0.0], [-0.0, -0.0, 6.72759884]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 44, 44, 32, 32]",-6.29104130375,-0.113683257499999,0.1355242174305562
75237,Ni2TaSn,inverse,"[[2.75998981, 2.75998981, -0.0], [-2.75998981, 2.75998981, -0.0], [-0.0, -0.0, 7.9613877]]","[[0.5, 4.022562042086513e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 4.022562042086513e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[28, 28, 28, 28, 73, 73, 50, 50]",-6.63319720625,0.0191538725000004,0.3165807775461349
77267,Zn2PdP,full,"[[2.70794946, 2.70794946, 0.0], [-2.70794946, 2.70794946, 0.0], [-0.0, -0.0, 7.96675256]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 46, 46, 15, 15]",-3.3391433575,-0.1299969158928573,0.3286416929096267
78106,Y2MnGa,inverse,"[[3.0471462, 3.0471462, -0.0], [-3.0471462, 3.0471462, 0.0], [-0.0, 0.0, 9.67051961]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 39, 39, 25, 25, 31, 31]",-6.25749569125,-0.1031511287500004,0.2553262931249995
79022,YAgPb,half,"[[3.1330083, 3.1330083, -0.0], [-3.1330083, 3.1330083, 0.0], [-0.0, -0.0, 8.97798271]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 47, 47, 82, 82]",-4.317024246666667,-0.0748282266666671,0.3560389058333328
79179,Y2TaP,inverse,"[[2.99519593, 2.99519593, -0.0], [-2.99519593, 2.99519593, -0.0], [0.0, -0.0, 9.75760516]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[39, 39, 39, 39, 73, 73, 15, 15]",-7.53080575,-0.0127695483928569,0.8642494925971271
84010,Mo2IrP,inverse,"[[2.66666706, 2.66666706, -0.0], [-2.66666706, 2.66666706, -0.0], [-0.0, -0.0, 8.17081612]]","[[0.4999999999999999, 4.163335728252317e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.163335728252317e-17, 0.7500000000000001], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[42, 42, 42, 42, 77, 77, 15, 15]",-8.97573366625,0.0521161678571431,0.6046443788471276
86081,Rh2TiIn,inverse,"[[2.69257359, 2.69257359, -0.0], [-2.69257359, 2.69257359, -0.0], [0.0, 0.0, 8.77385487]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[45, 45, 45, 45, 22, 22, 49, 49]",-6.76105621375,-0.5414604774999994,0.1523971105299006
88958,Ag2VSi,inverse,"[[3.19037059, 3.19037059, 0.0], [-3.19037059, 3.19037059, -0.0], [-0.0, -0.0, 6.29911887]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 23, 23, 14, 14]",-4.71096609125,0.2435447687499996,0.5089899898809517
89488,Ag2RuAs,inverse,"[[3.2008228, 3.2008228, 0.0], [-3.2008228, 3.2008228, -0.0], [0.0, -0.0, 6.40272261]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 44, 44, 33, 33]",-4.45631359,0.3784745149999997,0.5268001681249999
92639,Hf2AgSn,inverse,"[[2.95642024, 2.95642024, 0.0], [-2.95642024, 2.95642024, 0.0], [0.0, 0.0, 9.60452815]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[72, 72, 72, 72, 47, 47, 50, 50]",-6.7172834375,-0.1142626212499999,0.1823681277544681
92942,Hf2ReBi,inverse,"[[2.94419415, 2.94419415, -0.0], [-2.94419415, 2.94419415, 0.0], [-0.0, 0.0, 9.41761516]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[72, 72, 72, 72, 75, 75, 83, 83]",-8.84577562375,0.1855686912499994,0.4482462668124995
93046,HfIrAs,half,"[[2.73443664, 2.73443664, 0.0], [-2.73443664, 2.73443664, -0.0], [-0.0, -0.0, 7.83571456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[72, 72, 77, 77, 33, 33]",-8.287575596666667,-0.4698093383333332,0.3839685665476187
93154,Hf2PtTl,inverse,"[[2.87857705, 2.87857705, -0.0], [-2.87857705, 2.87857705, 0.0], [0.0, -0.0, 9.82143899]]","[[0.5, 3.8568466479824e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.8568466479824e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[72, 72, 72, 72, 78, 78, 81, 81]",-7.32601903625,-0.2834691631249999,0.3046514140625005
94671,Ta2PtGe,inverse,"[[2.74897838, 2.74897838, 0.0], [-2.74897838, 2.74897838, -0.0], [-0.0, -0.0, 8.8875667]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[73, 73, 73, 73, 78, 78, 32, 32]",-8.8284317525,-0.2710888175000008,0.2322737474305551
96935,Re2HfGe,inverse,"[[2.77656565, 2.77656565, -0.0], [-2.77656565, 2.77656565, 0.0], [-0.0, -0.0, 8.42986953]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[75, 75, 75, 75, 72, 72, 32, 32]",-9.73096698,0.0773710899999997,0.4727637695833331
98734,Ir2ScIn,inverse,"[[2.77271647, 2.77271647, -0.0], [-2.77271647, 2.77271647, 0.0], [0.0, 0.0, 8.84900742]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[77, 77, 77, 77, 21, 21, 49, 49]",-7.10085722125,-0.4713817012500003,0.1679445874999997
101416,Pt2WTl,inverse,"[[2.93081938, 2.93081938, 0.0], [-2.93081938, 2.93081938, 0.0], [0.0, 0.0, 8.00520494]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 74, 74, 81, 81]",-6.44569658125,0.397428911875,0.6533692768749999
101655,Pt2AuSb,inverse,"[[2.82713623, 2.82713623, 0.0], [-2.82713623, 2.82713623, -0.0], [-0.0, -0.0, 8.96422125]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[78, 78, 78, 78, 79, 79, 51, 51]",-4.937358985,-0.0449669087500002,0.1949462746874997
101796,Au2VSn,inverse,"[[2.99047637, 2.99047637, -0.0], [-2.99047637, 2.99047637, 0.0], [-0.0, -0.0, 8.34197922]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 79, 79, 23, 23, 50, 50]",-4.7494661425,0.0609586462499995,0.206701025334074
102569,AuCdP,half,"[[3.10797844, 3.10797844, -0.0], [-3.10797844, 3.10797844, -0.0], [0.0, -0.0, 6.54222443]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[79, 79, 48, 48, 15, 15]",-2.9839093266666663,0.1435296838095242,0.3819745809628366
102843,Au2IrP,full,"[[2.65710464, 2.65710464, 0.0], [-2.65710464, 2.65710464, 0.0], [0.0, 0.0, 9.31588188]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[79, 79, 79, 79, 77, 77, 15, 15]",-4.69685426,0.4793561541071423,0.8216333242637935
105496,Lu2MoP,inverse,"[[2.86245436, 2.86245436, 0.0], [-2.86245436, 2.86245436, 0.0], [-0.0, -0.0, 9.66293098]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[71, 71, 71, 71, 42, 42, 15, 15]",-6.3755526675,-0.0638798183928566,0.7917452700971284
105834,Lu2HfSi,inverse,"[[3.04818406, 3.04818406, -0.0], [-3.04818406, 3.04818406, -0.0], [0.0, 0.0, 9.48249406]]","[[0.5, 3.64224404685443e-17, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.5, 3.64224404685443e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]","[71, 71, 71, 71, 72, 72, 14, 14]",-6.22831973625,-0.1628896812500002,0.3502372779166666
