,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
9893,Cr2PdAs,full,"[[3.17737277, 3.17737277, -0.0], [-3.17737277, 3.17737277, -0.0], [-0.0, -0.0, 6.13216321]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 46, 46, 33, 33]",-7.09323779625,0.1382031699999997,0.3321856974999994
10527,CrIrIn,half,"[[-0.0, 2.97798331, 2.97798331], [2.97798331, -0.0, 2.97798331], [2.97798331, 2.97798331, -0.0]]","[[0.25, 0.25, 0.2499999999999999], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[24, 77, 49]",-6.5645404733333335,0.4131940766666666,0.5944711366666675
15107,FeNbGa,half,"[[2.91605709, 2.91605709, 0.0], [-2.91605709, 2.91605709, -0.0], [0.0, 0.0, 5.83922475]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[26, 26, 41, 41, 31, 31]",-7.055157446666667,0.033283979999999,0.3258103428160919
15272,Fe2RuAs,full,"[[2.56544887, 2.56544887, -0.0], [-2.56544887, 2.56544887, 0.0], [-0.0, -0.0, 8.09270415]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 44, 44, 33, 33]",-7.46349156375,0.1478355562500004,0.2961612093750005
15419,Fe2RhBi,full,"[[2.74045428, 2.74045428, 0.0], [-2.74045428, 2.74045428, -0.0], [-0.0, -0.0, 8.50995618]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 45, 45, 83, 83]",-6.63185522375,0.2875613650000002,0.3840486968750006
15452,FePdSi,half,"[[-0.0, 2.7942945, 2.7942945], [2.7942945, 0.0, 2.7942945], [2.7942945, 2.7942945, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 46, 14]",-6.23159343,0.0712783400000004,0.6118341580555563
16651,CoVIn,half,"[[0.0, 2.92901993, 2.92901993], [2.92901993, 0.0, 2.92901993], [2.92901993, 2.92901993, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[27, 23, 49]",-5.92781356,0.2574164750000006,0.3880574299999999
17602,CoYGe,half,"[[3.07295526, 3.07295526, 0.0], [-3.07295526, 3.07295526, 0.0], [0.0, 0.0, 6.13955558]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 39, 39, 32, 32]",-6.336386914999999,-0.3427418066666672,0.325749870833332
17884,CoMoBi,half,"[[3.02730241, 3.02730241, -0.0], [-3.02730241, 3.02730241, -0.0], [-0.0, -0.0, 6.05430808]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[27, 27, 42, 42, 83, 83]",-6.735887951666666,0.5433728150000002,0.5710330950000002
19913,NiZnSn,half,"[[2.97868417, 2.97868417, 0.0], [-2.97868417, 2.97868417, -0.0], [-0.0, 0.0, 5.93018575]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 30, 30, 50, 50]",-3.66159132,-0.1849037466666665,0.0539100300110068
20138,Ni2MoSn,full,"[[2.9023715, 2.9023715, 0.0], [-2.9023715, 2.9023715, -0.0], [-0.0, -0.0, 6.84588218]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 42, 42, 50, 50]",-6.3444751975,0.0873510912499995,0.2997853845253002
