composition,cell,positions,numbers,material_id,MP Formation energy (eV/atom),MP Hull distance (eV/atom),natoms,spacegroup
GePt3,"[[4.81093921, -0.00890491, 2.7367043300000002], [-1.54391535, 4.55648343, 2.7367043300000002], [0.00067723, 0.00094251, 5.58826291]]","[[0.7487104800000001, 0.7487104800000001, 0.50011858], [0.25128952, 0.25128952, 0.49988142], [0.74920034, 0.25079966, 0.5], [0.25079966, 0.74920034, 0.5], [0.30719865, 0.30719865, 0.0022675], [0.69280135, 0.69280135, 0.997732499999999], [0.1915753, 0.8084247, -0.0], [0.8084247, 0.1915753, 0.0]]","[32, 32, 78, 78, 78, 78, 78, 78]",mp-16315,-0.31029512249999947,0.0,8,C2/m
TaGe2,"[[4.97481538, -0.0, 0.0], [-2.4874082, 4.30831706, -0.0], [-0.0, 0.0, 6.74161826]]","[[0.5, -0.0, 0.5], [0.5, 0.5, 0.833333], [-0.0, 0.5, 0.166666999999999], [0.16378735, 0.32757471, 0.5], [0.83621265, 0.16378735, 0.833333], [0.32757471, 0.16378735, 0.166666999999999], [0.6724252900000001, 0.83621265, 0.166666999999999], [0.16378735, 0.83621265, 0.833333], [0.83621265, 0.6724252900000001, 0.5]]","[73, 73, 73, 32, 32, 32, 32, 32, 32]",mp-7558,-0.2219759911111115,0.0,9,P6_222
TlPd3,"[[4.14530124, -0.00060884, -0.0002264], [-0.00060884, 4.14530122, -0.00022639], [-2.07276791, -2.07276788, 7.73298482]]","[[0.87469842, 0.87469842, 0.74935178], [0.12530158, 0.12530159, 0.25064822000000003], [0.5, -0.0, -0.0], [-0.0, 0.5, -0.0], [0.24999506000000002, 0.7500049400000001, 0.5], [0.7500049400000001, 0.24999507, 0.5], [0.62572826, 0.62572825, 0.25145331], [0.37427174, 0.37427174, 0.7485466900000001]]","[81, 81, 46, 46, 46, 46, 46, 46]",mp-1079938,-0.22281544583333357,0.0,8,I4/mmm
Tl9Pd13,"[[9.07016799, 0.0, 0.0], [-4.535084, 7.85499424, 0.0], [-0.0, 0.0, 5.72252112]]","[[-0.0, -0.0, 0.5], [0.333333, 0.666667, 0.74881696], [0.666667, 0.333333, 0.25118304], [0.19266538, 0.80733462, 0.24622385], [0.19266538, 0.38532976, 0.24622385], [0.6146712400000001, 0.80733462, 0.24622385], [0.38532976, 0.19266538, 0.75377615], [0.80733462, 0.6146712400000001, 0.75377615], [0.80733462, 0.19266538, 0.75377615], [-0.0, -0.0, -0.0], [0.5, -0.0, -0.0], [-0.0, 0.5, -0.0], [0.5, 0.5, -0.0], [0.5, -0.0, 0.5], [-0.0, 0.5, 0.5], [0.5, 0.5, 0.5], [0.15919368, 0.84080632, 0.75255472], [0.15919368, 0.31838736, 0.75255472], [0.68161264, 0.84080632, 0.75255472], [0.31838736, 0.15919368, 0.24744528000000002], [0.84080632, 0.68161264, 0.24744528000000002], [0.84080632, 0.15919368, 0.24744528000000002]]","[81, 81, 81, 81, 81, 81, 81, 81, 81, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",mp-1297,-0.2153038336363635,0.0,22,P-3m1
Pd3Au,"[[3.96767809, -0.0, -0.0], [-0.0, 3.96767809, -0.0], [0.0, 0.0, 3.96767809]]","[[0.5, 0.5, -0.0], [0.5, -0.0, 0.5], [-0.0, 0.5, 0.5], [0.0, -0.0, 0.0]]","[46, 46, 46, 79]",mp-999298,-0.053699785000000055,0.0,4,Pm-3m
Tl2Au,"[[4.99592522, -0.0, 2.72491001], [2.49796261, 5.19719054, 1.36245449], [0.00937465, -1e-08, 5.92509925]]","[[0.15465093, 0.5, 0.19069714000000001], [0.34534907, 0.8093028600000001, 0.5], [0.65465093, 0.19069714000000001, 0.5], [0.84534907, 0.5, 0.8093028600000001], [0.25, 0.0, -0.0], [0.75, -0.0, -0.0]]","[81, 81, 81, 81, 79, 79]",mp-30571,-0.0381644955555552,0.0,6,I4/mcm
PdAu3,"[[-2.05259754, 2.05259754, 4.0026498], [2.05259754, -2.05259754, 4.0026498], [2.05259754, 2.05259754, -4.0026498]]","[[0.0, 0.0, 0.0], [0.750000999999999, 0.250001, 0.5], [0.250001, 0.750000999999999, 0.5], [0.5, 0.5, 0.0]]","[46, 79, 79, 79]",mp-973839,-0.07882560000000005,0.0,4,I4/mmm
Tl2Pd,"[[5.4462509, 0.00451323, -1.5323924500000001], [-3.1336217, 4.40466117, -1.51236501], [-0.01494781, -0.0045132, 5.6577078499999995]]","[[0.33426969, 0.83427776, 0.16783116], [0.16644661, 0.33427776, 0.50000807], [0.8335533900000001, 0.66572224, 0.49999193000000003], [0.66573031, 0.16572224, 0.83216884], [0.25080372, 0.25, 0.0008037200000000001], [0.74919628, 0.75, 0.99919628]]","[81, 81, 81, 81, 46, 46]",mp-570896,-0.12444613555555506,0.0,6,C2/c
HfSi,"[[3.76822566, 0.0, 0.0], [0.0, 5.22344715, 0.0], [0.0, 0.0, 6.86239649]]","[[0.25, 0.374392399999999, 0.67514414], [0.75, 0.625607599999999, 0.32485586], [0.75, 0.8743924, 0.82485586], [0.25, 0.12560759999999901, 0.17514414], [0.25, 0.86087047, 0.54312423], [0.75, 0.13912953, 0.45687477], [0.75, 0.36087047, 0.95687577], [0.25, 0.6391295300000001, 0.04312423]]","[72, 72, 72, 72, 14, 14, 14, 14]",mp-1042,-0.7825300499999992,0.0,8,Pnma
Lu,"[[3.51805196, -1e-08, -0.0], [-1.75902649, 3.04672256, 0.0], [-0.0, -0.0, 5.44608434]]","[[0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[71, 71]",mp-145,0.0,0.0,2,P6_3/mmc
Lu5Si3,"[[8.18945427, 0.0, 0.0], [-4.09472663, 7.09227595, 0.0], [-0.0, 0.0, 6.15490231]]","[[0.666667, 0.333333, -0.0], [0.333333, 0.666667, 0.5], [0.333333, 0.666667, -0.0], [0.666667, 0.333333, 0.5], [0.7582027100000001, 0.0, 0.75], [0.7582027100000001, 0.7582027100000001, 0.25], [-0.0, 0.24179729, 0.25], [0.0, 0.7582027100000001, 0.75], [0.24179729, 0.24179729, 0.75], [0.24179729, -0.0, 0.25], [0.39457536, -0.0, 0.75], [0.39457536, 0.39457536, 0.25], [0.0, 0.60542464, 0.25], [-0.0, 0.39457536, 0.75], [0.60542464, 0.60542464, 0.75], [0.60542464, 0.0, 0.25]]","[71, 71, 71, 71, 71, 71, 71, 71, 71, 71, 14, 14, 14, 14, 14, 14]",mp-11908,-0.6791477600000002,0.0,16,P6_3/mcm
Hf2Si,"[[4.50782736, -0.0, 2.52257789], [2.25391317, 4.63204785, 1.26128844], [-0.0080878, -0.0, 5.30346791]]","[[0.65648438, 0.18702724, 0.5], [0.84351562, 0.5, 0.8129727600000001], [0.34351562, 0.8129727600000001, 0.5], [0.15648438, 0.5, 0.18702724], [0.75, 0.0, -0.0], [0.25, 0.0, -0.0]]","[72, 72, 72, 72, 14, 14]",mp-9938,-0.7200580799999999,0.0,6,I4/mcm
LuSi,"[[0.0, -0.0, 3.74435116], [4.15457397, -0.0, 0.0], [-2.07728749, 5.13032693, -0.0]]","[[0.25, 0.14070841, 0.28141582], [0.75, 0.85929159, 0.71858418], [0.25, 0.42159599000000003, 0.84319298], [0.75, 0.57840401, 0.15680702]]","[71, 71, 14, 14]",mp-1001612,-0.7641456900000003,0.0,4,Cmcm
Hf3Si2,"[[3.66328402, 0.0, 0.0], [0.0, 6.9898519100000005, 0.0], [0.0, 0.0, 6.9898519100000005]]","[[0.5, 0.67322933, 0.82677067], [0.5, 0.82677067, 0.32677067], [0.5, 0.32677067, 0.17322933000000001], [0.5, 0.17322933000000001, 0.67322933], [-0.0, 0.5, 0.5], [-0.0, -0.0, 0.0], [-0.0, 0.62360275, 0.12360275], [0.0, 0.87639725, 0.62360275], [-0.0, 0.12360275, 0.37639725], [0.0, 0.37639725, 0.87639725]]","[72, 72, 72, 72, 72, 72, 14, 14, 14, 14]",mp-2105,-0.7700513759999993,0.0,10,P4/mbm
Zn22Ni3,"[[0.00020975, 7.32525847, -7.857000000000003e-05], [0.0057097300000000005, -8.108000000000003e-05, 7.57096605], [6.14884024, -3.66242696, -2.39862673]]","[[0.65540843, 0.31124807, 0.91458666], [0.34459146, 0.68875181, 0.08541324], [0.7408240500000001, 0.68875164, 0.08541384], [0.25917597, 0.31124826, 0.91458607], [0.32365182000000003, -3e-07, 4.8e-07], [0.67634821, 2.9e-07, -4.299999999999998e-07], [0.169467199999999, 0.78320683, 0.33893322], [0.83053278, 0.21679312, 0.66106673], [0.021426630000000002, 0.17513885, 0.04285589], [0.97857338, 0.82486113, 0.95714411], [0.64949183, 0.27404244, 0.29898063], [0.35050817, 0.72595742, 0.70101936], [0.31466876, 0.37649931000000003, 0.629335], [0.6853312500000001, 0.62350059, 0.37066501], [0.33701208, 0.46197097000000004, 0.31376968], [0.6629879200000001, 0.53802897, 0.68623031], [0.02324372, 0.53802722, 0.6862331700000001], [0.97675628, 0.46197271, 0.31376682], [0.38169054, 0.09821791, 0.38365333], [0.61830949, 0.90178207, 0.61634672], [0.9980380400000001, 0.90178265, 0.61634666], [0.00196197, 0.09821732, 0.38365339], [0.34259681000000003, 0.05359828, 0.68518869], [0.6574032, 0.94640141, 0.31481135], [-1e-08, 0.50000002, 5e-08]]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 28, 28]",mp-1207504,-0.12900455759999999,0.0,25,C2/m
Ni4Sn3,"[[5.213783, 0.0, 0.0], [0.0, 7.066098, 0.0], [0.0, 0.042637999999999, 24.578161]]","[[0.247381, 0.742396, 0.208316], [0.245115, 0.73875, 0.541343999999999], [0.245452999999999, 0.739719, 0.874872], [0.751564999999999, 0.242552, 0.29194000000000003], [0.752128, 0.233578999999999, 0.625243], [0.752572, 0.233024999999999, 0.959135], [0.745745, 0.261049, 0.126597], [0.744379, 0.260824, 0.456227], [0.743261, 0.264731999999999, 0.791438], [0.251984, 0.7583529999999991, 0.041590999999999004], [0.25304000000000004, 0.759389, 0.375143], [0.252536, 0.759582, 0.708241], [0.254255, 0.261049, 0.126597], [0.255621, 0.260824, 0.456227], [0.256739, 0.264731999999999, 0.791438], [0.748016, 0.7583529999999991, 0.041590999999999004], [0.7469600000000001, 0.759389, 0.375143], [0.747464, 0.759582, 0.708241], [0.752618999999999, 0.742396, 0.208316], [0.754884999999999, 0.73875, 0.541343999999999], [0.754547, 0.739719, 0.874872], [0.248435, 0.242552, 0.29194000000000003], [0.247871999999999, 0.233578999999999, 0.625243], [0.247427999999999, 0.233024999999999, 0.959135], [0.0, 0.904632999999999, 0.6230300000000001], [0.0, 0.904338, 0.957005999999999], [0.5, 0.588811, 0.12375799999999901], [0.5, 0.587303, 0.459391999999999], [0.5, 0.590411999999999, 0.791349], [0.5, 0.08684, 0.042838999999999], [0.5, 0.086604, 0.374266], [0.5, 0.086811, 0.708737], [0.0, 0.091527, 0.049141], [0.0, 0.083068999999999, 0.375378999999999], [0.0, 0.09201000000000001, 0.714596999999999], [0.0, 0.584901, 0.123981], [0.0, 0.58569, 0.456246], [0.0, 0.588388999999999, 0.789859], [0.5, 0.901754, 0.286431999999999], [0.5, 0.8984200000000001, 0.619545], [0.5, 0.8985000000000001, 0.953541], [0.5, 0.40611, 0.213586], [0.5, 0.398905, 0.546694999999999], [0.5, 0.401723, 0.880410999999999], [0.0, 0.085068999999999, 0.208743999999999], [0.0, 0.096903999999999, 0.535127999999999], [0.0, 0.097615, 0.869535], [0.0, 0.583684, 0.292533999999999], [0.0, 0.552429, 0.625827999999999], [0.0, 0.551701, 0.9589400000000001], [0.5, 0.940888, 0.136557999999999], [0.5, 0.940589, 0.468348], [0.5, 0.942631999999999, 0.8030200000000001], [0.5, 0.437380999999999, 0.030931], [0.5, 0.441892, 0.364674999999999], [0.5, 0.438565999999999, 0.697793]]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",mp-1221030,-0.25849182892857164,0.0,56,Pm
Ni3Sn2,"[[5.15978058, 3.549999999999997e-06, 6.36e-06], [-3.03e-06, 7.09907482, -0.00032477], [-4.559999999999999e-06, -0.0004034, 8.11883104]]","[[0.24999531, 0.40790161, 0.62804737], [0.75000451, 0.59217724, 0.37191813], [0.49599958, 0.73558159, 0.62356314], [0.99597997, 0.26440167000000003, 0.37646823], [0.50401396, 0.7643762900000001, 0.12359368], [0.99600497, 0.7643757, 0.12359575], [0.50401113, 0.26439903, 0.37646788000000003], [0.00401173, 0.7355809600000001, 0.62356207], [0.49597156000000003, 0.23558578, 0.87637301], [0.25000263, 0.90779256, 0.87186769], [0.00400471, 0.23558543, 0.87637042], [0.74999785, 0.09213846, 0.12815827], [0.24999936, 0.0604646, 0.5960025], [0.25000436, 0.59578022, 0.35913842], [0.74999327, 0.40430427, 0.64086325], [0.75000439, 0.90430296, 0.85911284], [0.24999778, 0.09575942, 0.14083502], [0.24999973, 0.56047432, 0.903959], [0.75000256, 0.9395152, 0.40409532000000004], [0.7499996600000001, 0.43950568, 0.09600901]]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 50, 50, 50, 50, 50, 50, 50, 50]",mp-669720,-0.26081920549999965,0.0,20,Pnma
ZnNi,"[[3.18195338, 0.0, -0.0], [-0.0, 3.81353308, 0.0], [0.0, 0.0, 3.81353308]]","[[0.5, -0.0, 0.5], [0.5, 0.5, 0.0], [-0.0, 0.0, -0.0], [-0.0, 0.5, 0.5]]","[30, 30, 28, 28]",mp-429,-0.254970535,0.0,4,P4/mmm
Ni,"[[2.12808334, -0.0, 1.22864943], [0.70936078, 2.00637688, 1.22864943], [-0.0, -0.0, 2.45729885]]","[[-0.0, -0.0, 0.0]]",[28],mp-23,0.0,0.0,1,Fm-3m
Sn,"[[4.02327148, -0.0, 2.32283636], [1.34109016, 3.79317615, 2.32283636], [0.0, -0.0, 4.64567271]]","[[0.875, 0.875, 0.875], [0.125, 0.125, 0.125]]","[50, 50]",mp-117,0.0,0.0,2,Fd-3m
Ni3Sn4,"[[3.84773083, 0.0, -1.27847674], [-0.40715104, 5.03293189, -1.22537311], [0.00105068, -0.06831976000000001, 6.43250927]]","[[0.0, -0.0, -0.0], [0.78416504, 0.6635577500000001, 0.5683280900000001], [0.21583496, 0.33644225, 0.43167191], [0.57264865, 0.313570199999999, 0.14529629], [0.42735135, 0.6864298, 0.85470371], [0.82787892, 0.18743816, 0.65575684], [0.17212108, 0.81256184, 0.34424316]]","[28, 28, 28, 50, 50, 50, 50]",mp-20174,-0.22278011999999997,0.0,7,C2/m
Zn11Ni2,"[[-4.41121482, 4.41121482, 4.41121482], [4.41121482, -4.41121482, 4.41121482], [4.41121482, 4.41121482, -4.41121482]]","[[0.20971506, -0.0, 0.0], [-0.0, 0.20971506, 0.0], [0.0, -0.0, 0.20971506], [0.79028494, 0.79028494, 0.79028494], [0.0, 0.64500874, 0.64500874], [0.35499126000000003, -0.0, 0.35499126000000003], [0.35499126000000003, 0.35499126000000003, -0.0], [-0.0, 0.35499126000000003, 0.35499126000000003], [0.64500874, 0.0, 0.64500874], [0.64500874, 0.64500874, 0.0], [0.35122972, 0.73715139, -0.0], [0.61407833, 0.26284861, 0.26284861], [0.35122972, 0.0, 0.73715139], [0.73715139, 0.35122972, -0.0], [-0.0, 0.35122972, 0.73715139], [0.26284861, 0.61407833, 0.26284861], [0.26284861, 0.26284861, 0.61407833], [-0.0, 0.73715139, 0.35122972], [0.73715139, 0.0, 0.35122972], [0.64877028, 0.64877028, 0.38592167], [0.38592167, 0.64877028, 0.64877028], [0.64877028, 0.38592167, 0.64877028], [0.656849799999999, -0.0, 0.0], [0.0, 0.656849799999999, -0.0], [0.0, -0.0, 0.656849799999999], [0.343150199999999, 0.343150199999999, 0.343150199999999]]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 28, 28, 28]",mp-11532,-0.162326948076923,0.0,26,I-43m
Ni3Sn,"[[5.24628216, 0.0, -0.0], [-2.62314057, 4.54341301, -0.0], [0.0, -0.0, 4.2095812]]","[[0.84053444, 0.68106988, 0.25], [0.15946556, 0.84053444, 0.75], [0.68106988, 0.84053444, 0.75], [0.31893012, 0.15946556, 0.25], [0.84053444, 0.15946556, 0.25], [0.15946556, 0.31893012, 0.75], [0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[28, 28, 28, 28, 28, 28, 50, 50]",mp-20112,-0.18520410999999903,0.0,8,P6_3/mmc
Zn53Ni16,"[[4.444767, -6.26191, 0.0], [4.444767, 6.26191, 0.0], [0.0, 0.0, 33.326978]]","[[0.265026, 0.913571999999999, 0.222841999999999], [0.91966, 0.275268, 0.601553], [0.534453, 0.534453, 0.076395999999999], [0.9746900000000001, 0.9746900000000001, 0.113695999999999], [0.288496, 0.930785, 0.708183999999999], [0.951892, 0.951892, 0.346388], [0.9605809999999991, 0.9605809999999991, 0.728158], [0.566377, 0.194738, 0.476562999999999], [0.401138, 0.160586999999999, 0.280282], [0.188387, 0.412101999999999, 0.654011], [0.083702, 0.727557999999999, 0.914215999999999], [0.694738, 0.066376999999999, 0.023437], [0.0, 0.0, 0.5], [0.442142, 0.812873, 0.157343999999999], [0.569215, 0.211504, 0.208183999999999], [0.634915, 0.885442, 0.091737], [0.034453, 0.034453, 0.423604], [0.5803400000000001, 0.224732, 0.101552999999999], [0.086427999999999, 0.734974, 0.777158], [0.272441999999999, 0.916298, 0.085784], [0.933623, 0.305262, 0.976563], [0.449681, 0.449681, 0.535992], [0.048108, 0.048108, 0.653612], [0.772442, 0.416298, 0.414216], [0.539419, 0.539419, 0.228158], [0.775268, 0.41966000000000003, 0.898447], [0.930785, 0.288496, 0.708183999999999], [0.949681, 0.949681, 0.964008], [0.660586999999999, 0.901138, 0.219718], [0.187127, 0.557858, 0.842656], [0.550319, 0.550319, 0.464008], [0.114558, 0.365085, 0.908262999999999], [0.557858, 0.187127, 0.842656], [0.08497299999999901, 0.318434999999999, 0.53185], [0.584973, 0.818434999999999, 0.9681500000000001], [0.788496, 0.430785, 0.791816], [0.412101999999999, 0.188387, 0.654011], [0.365085, 0.114558, 0.908262999999999], [0.486952, 0.486952, 0.309421], [0.598862, 0.839413, 0.719718], [0.181565, 0.415027, 0.03185], [0.687126999999999, 0.057858, 0.657343999999999], [0.734974, 0.086427999999999, 0.777158], [0.915026999999999, 0.681565, 0.46815], [0.583701999999999, 0.227557999999999, 0.585784], [0.433623, 0.805261999999999, 0.523436999999999], [0.160586999999999, 0.401138, 0.280282], [0.451891999999999, 0.451891999999999, 0.153612], [0.460580999999999, 0.460580999999999, 0.771841999999999], [0.586428, 0.234974, 0.722842], [0.688387, 0.912102, 0.845989], [0.41966000000000003, 0.775268, 0.898447], [0.013047999999999001, 0.013047999999999001, 0.809421], [0.227557999999999, 0.583701999999999, 0.585784], [0.057858, 0.687126999999999, 0.657343999999999], [0.986951999999999, 0.986951999999999, 0.190579], [0.912102, 0.688387, 0.845989], [0.587897999999999, 0.811612999999999, 0.345989], [0.087897999999999, 0.311613, 0.154010999999999], [0.039418999999999, 0.039418999999999, 0.271842], [0.234974, 0.586428, 0.722842], [0.098861999999999, 0.339412999999999, 0.780281999999999], [0.312873, 0.942141999999999, 0.342655999999999], [0.942141999999999, 0.312873, 0.342655999999999], [0.965546999999999, 0.965546999999999, 0.576396], [0.025310000000000003, 0.025310000000000003, 0.886304], [0.211504, 0.569215, 0.208183999999999], [0.513048, 0.513048, 0.690578999999999], [0.430785, 0.788496, 0.791816], [0.913571999999999, 0.265026, 0.222841999999999], [0.050318999999999, 0.050318999999999, 0.035991999999999004], [0.765026, 0.413572, 0.277157999999999], [0.385442, 0.134915, 0.408263], [0.548107999999999, 0.548107999999999, 0.846387999999999], [0.711503999999999, 0.069215, 0.291815999999999], [0.134915, 0.385442, 0.408263], [0.318434999999999, 0.08497299999999901, 0.53185], [0.275268, 0.91966, 0.601553], [0.066376999999999, 0.694738, 0.023437], [0.08034000000000001, 0.724731999999999, 0.398447], [0.224732, 0.5803400000000001, 0.101552999999999], [0.681565, 0.915026999999999, 0.46815], [0.465547, 0.465547, 0.923604], [0.069215, 0.711503999999999, 0.291815999999999], [0.805261999999999, 0.433623, 0.523436999999999], [0.614557999999999, 0.865085, 0.591737], [0.311613, 0.087897999999999, 0.154010999999999], [0.865085, 0.614557999999999, 0.591737], [0.415027, 0.181565, 0.03185], [0.52531, 0.52531, 0.613696], [0.5, 0.5, 0.0], [0.901138, 0.660586999999999, 0.219718], [0.339412999999999, 0.098861999999999, 0.780281999999999], [0.916298, 0.272441999999999, 0.085784], [0.885442, 0.634915, 0.091737], [0.413572, 0.765026, 0.277157999999999], [0.47469000000000006, 0.47469000000000006, 0.386304], [0.812873, 0.442142, 0.157343999999999], [0.818434999999999, 0.584973, 0.9681500000000001], [0.727557999999999, 0.083702, 0.914215999999999], [0.839413, 0.598862, 0.719718], [0.416298, 0.772442, 0.414216], [0.194738, 0.566377, 0.476562999999999], [0.305262, 0.933623, 0.976563], [0.724731999999999, 0.08034000000000001, 0.398447], [0.811612999999999, 0.587897999999999, 0.345989], [0.744182999999999, 0.744182999999999, 0.781423], [0.733472, 0.733472, 0.156191], [0.591468, 0.241, 0.965232], [0.768334, 0.768334, 0.030341], [0.241, 0.591468, 0.965232], [0.259, 0.908532, 0.465232], [0.253917, 0.253917, 0.092384], [0.266528, 0.266528, 0.843808999999999], [0.268333999999999, 0.268333999999999, 0.469659], [0.255816999999999, 0.255816999999999, 0.218577], [0.231665999999999, 0.231665999999999, 0.969658999999999], [0.09496, 0.741355, 0.154683], [0.766528, 0.766528, 0.656191], [0.258645, 0.9050400000000001, 0.845317], [0.244182999999999, 0.244182999999999, 0.718577], [0.741355, 0.09496, 0.154683], [0.40504, 0.758645, 0.654683], [0.731665999999999, 0.731665999999999, 0.530341], [0.908532, 0.259, 0.465232], [0.758645, 0.40504, 0.654683], [0.746082999999999, 0.746082999999999, 0.907616], [0.741, 0.091468, 0.534768], [0.9050400000000001, 0.258645, 0.845317], [0.246083, 0.246083, 0.592384], [0.241355, 0.59496, 0.345317], [0.759, 0.408532, 0.034768], [0.755817, 0.755817, 0.281423], [0.091468, 0.741, 0.534768], [0.233471999999999, 0.233471999999999, 0.343809], [0.59496, 0.241355, 0.345317], [0.753917, 0.753917, 0.407616], [0.408532, 0.759, 0.034768]]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]",mp-581951,-0.19320335710144915,0.0,138,Cmce
CrPd3,"[[3.89097501, 0.0, 0.0], [0.0, 3.89080869, 0.0], [0.0, 0.0, 3.8908701800000003]]","[[-0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0]]","[24, 46, 46, 46]",mp-865786,-0.07442674999999976,0.0,4,Pm-3m
As2Pd,"[[6.02777512, -0.0, 0.0], [-0.0, 6.02777512, -0.0], [-0.0, 0.0, 6.02777512]]","[[0.38415327, 0.11584673000000001, 0.88415327], [0.11584673000000001, 0.88415327, 0.38415327], [0.88415327, 0.38415327, 0.11584673000000001], [0.61584673, 0.61584673, 0.61584673], [0.38415327, 0.38415327, 0.38415327], [0.11584673000000001, 0.61584673, 0.88415327], [0.88415327, 0.11584673000000001, 0.61584673], [0.61584673, 0.88415327, 0.11584673000000001], [-0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [-0.0, 0.0, 0.0]]","[33, 33, 33, 33, 33, 33, 33, 33, 46, 46, 46, 46]",mp-20465,-0.3229584791666665,0.0,12,Pa-3
AsPd3,"[[0.0, 0.0, 4.84783559], [-5.03515963, 5.03508992, 2.42391729], [-5.03508992, -5.03515963, 2.42391729]]","[[0.93792369, 0.32445355, 0.76147024], [0.02384648, 0.67554645, 0.23852976], [0.73762276, 0.23852976, 0.32445355], [0.30060807, 0.76147024, 0.67554645], [0.62728595, 0.18816333000000002, 0.03430499], [0.84975227, 0.81183667, 0.96569501], [0.18455172, 0.96569501, 0.18816333000000002], [0.33840906, 0.03430499, 0.81183667], [0.50960868, 0.6042455800000001, 0.33392912], [0.44778438, 0.39575442, 0.66607088], [0.88614474, 0.66607088, 0.6042455800000001], [0.1564632, 0.33392912, 0.39575442], [0.47436756, 0.60580071, 0.95296099], [0.03313026, 0.39419929000000004, 0.04703901], [0.9198317300000001, 0.04703901, 0.60580071], [0.57267045, 0.95296099, 0.39419929000000004]]","[33, 33, 33, 33, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",mp-1105134,-0.3647221406250001,0.0,16,I-4
CrAs,"[[3.567259, 0.0, 0.0], [0.0, 5.688791, 0.0], [0.0, 0.0, 6.286673]]","[[0.25, 0.501724, 0.716700999999999], [0.75, 0.498276, 0.283298999999999], [0.25, 0.0017239999999990002, 0.783299], [0.75, 0.998275999999999, 0.216700999999999], [0.25, 0.714951, 0.079842], [0.75, 0.285049, 0.920157999999999], [0.25, 0.214951, 0.420158], [0.75, 0.785049, 0.579842]]","[24, 24, 24, 24, 33, 33, 33, 33]",mp-20717,-0.19111381124999927,0.0,8,Pnma
AsPd2,"[[3.3398388, 0.0, -0.64342014], [-0.0, 6.56825071, 0.0], [-0.07387914, -0.0, 8.60636424]]","[[0.2005344, 0.23129032, 0.4010698], [0.7994656, 0.73129032, 0.5989302], [0.55859241, 0.69823094, 0.11718282000000001], [0.44140759, 0.19823094, 0.88281718], [0.67751754, 0.9627574, 0.35503507], [0.32248246, 0.4627574, 0.64496493], [0.41659887, 0.82565902, 0.83319575], [0.58340113, 0.32565902, 0.16680425000000002], [0.16663725000000001, 0.6124691600000001, 0.3332755], [0.83336275, 0.11246916, 0.666724499999999], [0.95930479, 0.48389518000000004, 0.9186085900000001], [0.04069521, 0.98389518, 0.08139241]]","[33, 33, 33, 33, 46, 46, 46, 46, 46, 46, 46, 46]",mp-8073,-0.373165838333333,0.0,12,Cmc2_1
