composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
ZnIr,"[[4.880078363, -1.398226105, 0.0], [4.880078363, 1.398226105, 0.0], [-1.861892379, 0.0, 4.178671089]]","[[0.634, 0.634, 0.295], [0.366, 0.366, 0.705], [0.885, 0.885, 0.211], [0.115, 0.115, 0.789]]","[77, 77, 30, 30]",1483170,3826646,-0.19660517249999998,0.0,4,C2/m
Zn13Ir,"[[5.444889, -3.738185, 0.0], [5.444889, 3.738185, 0.0], [-1.017684, 0.0, 5.080867]]","[[0.0, 0.0, 0.0], [0.775, 0.775, 0.133], [0.612, 0.226, 0.175], [0.226, 0.612, 0.175], [0.998, 0.364, 0.302], [0.364, 0.998, 0.302], [0.612, 0.612, 0.43], [0.0, 0.0, 0.5], [0.388, 0.388, 0.57], [0.636, 0.00191, 0.698], [0.00191, 0.636, 0.698], [0.774, 0.388, 0.825], [0.388, 0.774, 0.825], [0.225, 0.225, 0.867]]","[77, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",1790954,4637504,-0.10470350928571445,0.0,14,C2/m
ZnIr124,"[[0.0, 9.681968172, 9.681968172], [9.681968172, 0.0, 9.681968172], [9.681968172, 9.681968172, 0.0]]","[[0.201, 0.0, 0.0], [0.401, 0.0, 0.0], [0.599, 0.0, 0.0], [0.799, 0.0, 0.0], [0.4, 0.2, 0.0], [0.0, 0.201, 0.0], [0.799, 0.201, 0.0], [0.2, 0.4, 0.0], [0.4, 0.4, 0.0], [0.0, 0.401, 0.0], [0.599, 0.401, 0.0], [0.0, 0.599, 0.0], [0.401, 0.599, 0.0], [0.6, 0.6, 0.0], [0.8, 0.6, 0.0], [0.0, 0.799, 0.0], [0.201, 0.799, 0.0], [0.6, 0.8, 0.0], [0.2, 0.2, 0.000233], [0.6, 0.2, 0.000233], [0.2, 0.6, 0.000233], [0.801, 0.199, 0.199], [0.199, 0.801, 0.199], [0.801, 0.801, 0.199], [0.6, 0.000233, 0.2], [0.2, 0.6, 0.2], [0.000233, 0.6, 0.2], [0.2, 0.000233, 0.2], [0.000233, 0.2, 0.2], [0.6, 0.2, 0.2], [0.6, 0.6, 0.2], [0.2, 0.2, 0.2], [0.4, 0.2, 0.2], [0.2, 0.4, 0.2], [0.6, 0.4, 0.2], [0.8, 0.4, 0.2], [0.4, 0.6, 0.2], [0.8, 0.6, 0.2], [0.4, 0.8, 0.2], [0.6, 0.8, 0.2], [0.4, 0.4, 0.2], [0.4, 0.0, 0.2], [0.0, 0.4, 0.2], [0.799, 0.0, 0.201], [0.0, 0.799, 0.201], [0.0, 0.0, 0.201], [0.6, 0.2, 0.4], [0.8, 0.2, 0.4], [0.2, 0.6, 0.4], [0.8, 0.6, 0.4], [0.2, 0.8, 0.4], [0.6, 0.8, 0.4], [0.2, 0.0, 0.4], [0.4, 0.0, 0.4], [0.0, 0.2, 0.4], [0.4, 0.2, 0.4], [0.0, 0.4, 0.4], [0.2, 0.4, 0.4], [0.8, 0.8, 0.4], [1.0, 0.8, 0.4], [0.8, 1.0, 0.4], [0.4, 0.4, 0.4], [0.8, 0.4, 0.4], [0.4, 0.8, 0.4], [0.6, 0.4, 0.4], [0.4, 0.6, 0.4], [0.6, 0.6, 0.4], [0.2, 0.2, 0.4], [0.0, 0.0, 0.401], [0.599, 0.0, 0.401], [0.0, 0.599, 0.401], [0.0, 0.0, 0.599], [0.401, 0.0, 0.599], [0.0, 0.401, 0.599], [0.8, 0.8, 0.6], [0.4, 0.4, 0.6], [0.6, 0.4, 0.6], [0.4, 0.6, 0.6], [0.6, 0.2, 0.6], [0.2, 0.6, 0.6], [0.6, 0.6, 0.6], [0.000233, 0.2, 0.6], [0.2, 0.000233, 0.6], [0.2, 0.2, 0.6], [0.6, 0.0, 0.6], [0.8, 0.0, 0.6], [0.0, 0.6, 0.6], [0.8, 0.6, 0.6], [0.0, 0.8, 0.6], [0.6, 0.8, 0.6], [0.4, 0.2, 0.6], [0.8, 0.2, 0.6], [0.2, 0.4, 0.6], [0.8, 0.4, 0.6], [0.2, 0.8, 0.6], [0.4, 0.8, 0.6], [0.0, 0.0, 0.799], [0.201, 0.0, 0.799], [0.0, 0.201, 0.799], [0.6, 0.0, 0.8], [0.0, 0.6, 0.8], [0.6, 0.6, 0.8], [0.4, 0.2, 0.8], [0.6, 0.2, 0.8], [0.2, 0.4, 0.8], [0.6, 0.4, 0.8], [0.2, 0.6, 0.8], [0.4, 0.6, 0.8], [0.8, 0.6, 0.8], [0.6, 0.8, 0.8], [0.8, 0.8, 0.8], [0.4, 0.4, 0.8], [1.0, 0.4, 0.8], [0.8, 0.4, 0.8], [0.4, 0.8, 0.8], [1.0, 0.8, 0.8], [0.4, 1.0, 0.8], [0.8, 1.0, 0.8], [0.199, 0.199, 0.801], [0.801, 0.199, 0.801], [0.199, 0.801, 0.801], [0.8, 0.4, 1.0], [0.4, 0.8, 1.0], [0.8, 0.8, 1.0], [0.0, 0.0, 0.0]]","[77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 30]",2070067,5293384,-0.007513706640000237,0.0,125,Fm-3m
Zn22Ir3,"[[6.763579159, -3.800591165, 0.0], [6.763579159, 3.800591165, 0.0], [-2.700669653, 0.0, 7.287588093]]","[[0.0, 0.0, 0.0], [0.658, 0.658, 0.445], [0.342, 0.342, 0.555], [0.658, 0.0257, 0.0435], [0.0257, 0.658, 0.0435], [0.686, 0.686, 0.121], [0.74, 0.343, 0.186], [0.343, 0.74, 0.186], [0.354, 0.354, 0.223], [0.169, 0.169, 0.283], [0.973, 0.973, 0.327], [0.999, 0.618, 0.396], [0.618, 0.999, 0.396], [0.679, 0.321, 0.5], [0.321, 0.679, 0.5], [0.382, 0.00101, 0.604], [0.00101, 0.382, 0.604], [0.0271, 0.0271, 0.673], [0.831, 0.831, 0.717], [0.646, 0.646, 0.777], [0.657, 0.26, 0.814], [0.26, 0.657, 0.814], [0.314, 0.314, 0.879], [0.974, 0.342, 0.956], [0.342, 0.974, 0.956]]","[77, 77, 77, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",2136409,5596665,-0.1649427916000002,0.0,25,C2/m
Zn10Ir3,"[[4.552658103, -6.456296619, 0.0], [4.552658103, 6.456296619, 0.0], [-4.40210079, 0.0, 6.445083209]]","[[0.354, 0.0153, 0.0161], [0.0153, 0.354, 0.0161], [0.000918, 0.000918, 0.337], [0.644, 0.0038, 0.639], [0.0038, 0.644, 0.639], [0.642, 0.642, 0.658], [0.645, 0.645, 0.00733], [0.237, 0.237, 0.235], [0.988, 0.64, 0.277], [0.64, 0.988, 0.277], [0.638, 0.359, 0.347], [0.359, 0.638, 0.347], [0.999, 0.353, 0.358], [0.353, 0.999, 0.358], [0.751, 0.751, 0.411], [0.347, 0.347, 0.626], [0.982, 0.258, 0.642], [0.258, 0.982, 0.642], [0.739, 0.381, 0.723], [0.381, 0.739, 0.723], [0.00109, 0.00109, 0.798], [0.64, 0.247, 0.968], [0.247, 0.64, 0.968], [0.355, 0.355, 0.994], [0.998, 0.783, 0.997], [0.783, 0.998, 0.997]]","[77, 77, 77, 77, 77, 77, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",2136426,5596882,-0.22693433076923078,0.0,26,Cm
Zn41Ir8,"[[6.870771171, 3.966841585, 4.891482433], [-6.870771171, 3.966841585, 4.891482433], [0.0, -7.93368317, 4.891482433]]","[[0.713, 0.382, 0.111], [0.19, 0.19, 0.19], [0.618, 0.889, 0.287], [0.111, 0.713, 0.382], [0.889, 0.287, 0.618], [0.382, 0.111, 0.713], [0.81, 0.81, 0.81], [0.287, 0.618, 0.889], [0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.22, 0.404, 0.0365], [0.73, 0.87, 0.0524], [0.452, 0.777, 0.0748], [0.182, 0.68, 0.128], [0.948, 0.27, 0.13], [0.68, 0.128, 0.182], [0.404, 0.0365, 0.22], [0.925, 0.548, 0.223], [0.462, 0.335, 0.231], [0.632, 0.606, 0.268], [0.13, 0.948, 0.27], [0.872, 0.818, 0.32], [0.231, 0.462, 0.335], [0.394, 0.732, 0.368], [0.732, 0.368, 0.394], [0.0365, 0.22, 0.404], [0.777, 0.0748, 0.452], [0.335, 0.231, 0.462], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.5, 0.5, 0.5], [0.665, 0.769, 0.538], [0.223, 0.925, 0.548], [0.964, 0.78, 0.596], [0.268, 0.632, 0.606], [0.606, 0.268, 0.632], [0.769, 0.538, 0.665], [0.128, 0.182, 0.68], [0.87, 0.0524, 0.73], [0.368, 0.394, 0.732], [0.538, 0.665, 0.769], [0.0748, 0.452, 0.777], [0.596, 0.964, 0.78], [0.32, 0.872, 0.818], [0.0524, 0.73, 0.87], [0.818, 0.32, 0.872], [0.548, 0.223, 0.925], [0.27, 0.13, 0.948], [0.78, 0.596, 0.964]]","[77, 77, 77, 77, 77, 77, 77, 77, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",2141553,5615305,-0.21569722183673493,0.0,49,R-3
MnAsRu,"[[6.52311, 2.9e-05, 0.0], [-3.26153, 5.649194, 0.0], [0.0, 0.0, 3.616604]]","[[0.667, 0.333, 0.0], [0.333, 0.667, 0.0], [4.19e-06, 5.31e-06, 0.5], [0.594, 4.03e-06, 0.5], [0.406, 0.406, 0.5], [4.47e-06, 0.594, 0.5], [0.257, 3.99e-06, 0.0], [3.61e-06, 0.257, 0.0], [0.743, 0.743, 0.0]]","[33, 33, 33, 25, 25, 25, 44, 44, 44]",8256,54308,-0.211134708486589,0.0,9,P-62m
MnAs,"[[5.532022, 0.0, 0.0], [0.0, 3.41475, 0.0], [0.0, 0.0, 6.011383]]","[[0.304, 0.75, 0.0813], [0.804, 0.75, 0.419], [0.196, 0.25, 0.581], [0.696, 0.25, 0.919], [0.00386, 0.25, 0.19], [0.504, 0.25, 0.31], [0.496, 0.75, 0.69], [0.996, 0.75, 0.81]]","[33, 33, 33, 33, 25, 25, 25, 25]",124346,1279718,-0.275540321896551,0.0,8,Pnma
Mn3As,"[[0.0, 0.0, 3.625662], [3.654439, 0.0, 0.0], [1.827219, 7.674305, 0.0]]","[[0.25, 0.842, 0.317], [0.75, 0.158, 0.683], [0.25, 0.45, 0.0991], [0.75, 0.948, 0.104], [0.75, 0.319, 0.361], [0.25, 0.681, 0.639], [0.25, 0.0519, 0.896], [0.75, 0.55, 0.901]]","[33, 33, 25, 25, 25, 25, 25, 25]",62971,1333113,-0.140937272844825,0.0,8,Cmcm
MnAs2,"[[5.403779078, 0.0, 0.0], [0.0, 6.114904216, 0.0], [0.0, 0.0, 2.890689042]]","[[0.182, 0.136, 0.0], [0.818, 0.864, 0.0], [0.682, 0.364, 0.5], [0.318, 0.636, 0.5], [0.0, 0.5, 0.0], [0.5, 0.0, 0.5]]","[33, 33, 33, 33, 25, 25]",1375868,3468372,-0.207255171264368,0.0,6,Pnnm
