composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
Fe,"[[1.4091, 1.4091, 1.4091], [1.4091, -1.4091, -1.4091], [-1.4091, 1.4091, -1.4091]]","[[0.0, 0.0, 0.0]]",[26],8568,4213,0.0,0.0,1,Im-3m
NbGa3,"[[0.0, -3.820575, 0.0], [-3.820575, 0.0, 0.0], [1.910287, 1.910287, -4.386983]]","[[0.5, 0.5, 0.0], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.0, 0.0, 0.0]]","[31, 31, 31, 41]",30302,10701,-0.30627533375,0.0,4,I4/mmm
GaFe3,"[[3.655547, 0.0, 0.0], [0.0, 3.655547, 0.0], [0.0, 0.0, 3.655547]]","[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 26, 26, 31]",30161,11608,-0.137155466250001,0.0,4,Pm-3m
Nb3Ga2,"[[6.938223, 0.0, 0.0], [0.0, 6.938223, 0.0], [0.0, 0.0, 3.519761]]","[[0.626, 0.126, 0.0], [0.126, 0.374, 0.0], [0.874, 0.626, 0.0], [0.374, 0.874, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.324, 0.176, 0.5], [0.824, 0.324, 0.5], [0.176, 0.676, 0.5], [0.676, 0.824, 0.5]]","[31, 31, 31, 31, 41, 41, 41, 41, 41, 41]",17261,145256,-0.364511542000001,0.0,10,P4/mbm
Ga3Fe,"[[6.253633, 0.0, 0.0], [0.0, 6.253633, 0.0], [0.0, 0.0, 6.543413]]","[[0.344, 0.344, 0.0], [0.656, 0.656, 0.0], [0.844, 0.156, 0.5], [0.156, 0.844, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.656, 0.344, 0.237], [0.344, 0.656, 0.237], [0.156, 0.156, 0.263], [0.844, 0.844, 0.263], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.156, 0.156, 0.737], [0.844, 0.844, 0.737], [0.656, 0.344, 0.763], [0.344, 0.656, 0.763]]","[26, 26, 26, 26, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]",30160,1227621,-0.237899091875,0.0,16,P42/mnm
Nb5Ga13,"[[1.897267, -20.26843, 0.0], [-3.794535, 0.0, 0.0], [0.0, 0.0, -3.786165]]","[[0.109, 0.0547, 0.0], [0.33, 0.165, 0.0], [0.777, 0.388, 0.0], [0.223, 0.612, 0.0], [0.67, 0.835, 0.0], [0.891, 0.945, 0.0], [0.0, 0.0, 0.5], [0.456, 0.228, 0.5], [0.671, 0.335, 0.5], [0.89, 0.445, 0.5], [0.11, 0.555, 0.5], [0.329, 0.665, 0.5], [0.544, 0.772, 0.5], [0.567, 0.283, 0.0], [0.0, 0.5, 0.0], [0.433, 0.717, 0.0], [0.217, 0.108, 0.5], [0.783, 0.892, 0.5]]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 41, 41, 41, 41, 41]",30300,1231504,-0.318486621388889,0.0,18,Cmmm
Nb,"[[1.658875, 1.658875, 1.658875], [1.658875, -1.658875, -1.658875], [-1.658875, 1.658875, -1.658875]]","[[0.0, 0.0, 0.0]]",[41],1215170,1281713,0.0,0.0,1,Im-3m
Ga,"[[-2.277499, -3.870427, 0.0], [-2.277499, 3.870427, 0.0], [0.0, 0.0, -4.558513]]","[[0.156, 0.844, 0.0813], [0.656, 0.344, 0.419], [0.344, 0.656, 0.581], [0.844, 0.156, 0.919]]","[31, 31, 31, 31]",1214704,1282970,0.0,0.0,4,Cmca
NbGaFe2,"[[4.183815, 0.0, 0.0], [0.0, 5.916547, 0.0], [0.0, 0.0, 12.550378]]","[[0.5, 0.25, 0.0], [0.5, 0.75, 0.0], [0.0, 0.25, 0.167], [0.0, 0.75, 0.167], [0.5, 0.25, 0.333], [0.5, 0.75, 0.333], [0.0, 0.25, 0.5], [0.0, 0.75, 0.5], [0.5, 0.25, 0.667], [0.5, 0.75, 0.667], [0.0, 0.25, 0.833], [0.0, 0.75, 0.833], [0.0, 0.0, 0.0], [0.5, 0.5, 0.167], [0.0, 0.0, 0.333], [0.5, 0.5, 0.5], [0.0, 0.0, 0.667], [0.5, 0.5, 0.833], [0.0, 0.5, 0.0], [0.5, 0.0, 0.167], [0.0, 0.5, 0.333], [0.5, 0.0, 0.5], [0.0, 0.5, 0.667], [0.5, 0.0, 0.833]]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 31, 31, 31, 31, 31, 31, 41, 41, 41, 41, 41, 41]",1014662,1981027,-0.263675571250001,0.0,24,Fm-3m
Nb,"[[-1.659699341, 1.659699341, 1.659699341], [1.659699341, -1.659699341, 1.659699341], [1.659699341, 1.659699341, -1.659699341]]","[[0.0, 0.0, 0.0]]",[41],1521870,3975384,0.0,0.0,1,Im-3m
Nb,"[[-1.659699341, 1.659699341, 1.659699341], [1.659699341, -1.659699341, 1.659699341], [1.659699341, 1.659699341, -1.659699341]]","[[0.0, 0.0, 0.0]]",[41],1521875,3975385,0.0,0.0,1,Im-3m
Fe,"[[-1.410668726, 1.410668726, 1.410668726], [1.410668726, -1.410668726, 1.410668726], [1.410668726, 1.410668726, -1.410668726]]","[[0.0, 0.0, 0.0]]",[26],1522121,3976521,0.0,0.0,1,Im-3m
Fe,"[[-1.410668726, 1.410668726, 1.410668726], [1.410668726, -1.410668726, 1.410668726], [1.410668726, 1.410668726, -1.410668726]]","[[0.0, 0.0, 0.0]]",[26],1522123,3976522,0.0,0.0,1,Im-3m
NbFe2,"[[0.0, 3.389998433, 3.389998433], [3.389998433, 0.0, 3.389998433], [3.389998433, 3.389998433, 0.0]]","[[0.625, 0.625, 0.125], [0.625, 0.125, 0.625], [0.125, 0.625, 0.625], [0.625, 0.625, 0.625], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25]]","[26, 26, 26, 26, 41, 41]",1590960,4209601,-0.1352849616666667,0.0,6,Fd-3m
Nb6Fe7,"[[2.430923322, 1.403494234, 8.883296348], [-2.430923322, 1.403494234, 8.883296348], [0.0, -2.806988469, 8.883296348]]","[[0.0, 0.0, 0.0], [0.592, 0.0923, 0.0923], [0.0923, 0.592, 0.0923], [0.908, 0.908, 0.408], [0.0923, 0.0923, 0.592], [0.908, 0.408, 0.908], [0.408, 0.908, 0.908], [0.166, 0.166, 0.166], [0.348, 0.348, 0.348], [0.451, 0.451, 0.451], [0.549, 0.549, 0.549], [0.652, 0.652, 0.652], [0.834, 0.834, 0.834]]","[26, 26, 26, 26, 26, 26, 26, 41, 41, 41, 41, 41, 41]",2015463,5161447,-0.1227044184615402,0.0,13,R-3m
Fe,"[[3.985711482, 0.0, 0.0], [-1.992855741, 3.451727396, 0.0], [0.0, 0.0, 7.322359797]]","[[0.0, 0.0, 0.0], [0.667, 0.333, 0.111], [0.333, 0.667, 0.222], [0.0, 0.0, 0.333], [0.667, 0.333, 0.444], [0.333, 0.667, 0.556], [0.0, 0.0, 0.667], [0.667, 0.333, 0.778], [0.333, 0.667, 0.889]]","[26, 26, 26, 26, 26, 26, 26, 26, 26]",1908165,5285108,0.0,0.0,9,P-3m1
Nb2GaFe3,"[[4.867070625, 0.0, 0.0], [-2.433535312, 4.215006803, 0.0], [0.0, 0.0, 8.014396874]]","[[0.346, 0.173, 0.25], [0.827, 0.173, 0.25], [0.827, 0.654, 0.25], [0.173, 0.346, 0.75], [0.173, 0.827, 0.75], [0.654, 0.827, 0.75], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5], [0.333, 0.667, 0.0648], [0.333, 0.667, 0.435], [0.667, 0.333, 0.565], [0.667, 0.333, 0.935]]","[26, 26, 26, 26, 26, 26, 31, 31, 41, 41, 41, 41]",2149929,5645497,-0.24479633583333538,0.0,12,P63/mmc
HfP,"[[3.661129, 0.0, 0.0], [-1.830564, 3.170624, 0.0], [0.0, 0.0, 12.415543]]","[[0.333, 0.667, 0.116], [0.333, 0.667, 0.384], [0.667, 0.333, 0.616], [0.667, 0.333, 0.884], [0.0, 0.0, 0.0], [0.667, 0.333, 0.25], [0.0, 0.0, 0.5], [0.333, 0.667, 0.75]]","[72, 72, 72, 72, 15, 15, 15, 15]",7907,22675,-1.42646520447997,0.0,8,P63/mmc
TiP,"[[3.492831, 0.0, 0.0], [-1.746416, 3.024863, 0.0], [0.0, 0.0, 11.686998]]","[[0.0, 0.0, 0.0], [0.667, 0.333, 0.25], [0.0, 0.0, 0.5], [0.333, 0.667, 0.75], [0.333, 0.667, 0.117], [0.333, 0.667, 0.383], [0.667, 0.333, 0.617], [0.667, 0.333, 0.883]]","[15, 15, 15, 15, 22, 22, 22, 22]",4602,27665,-1.3229747438731,0.0,8,P63/mmc
TiP2,"[[6.155089, 0.0, 0.0], [0.0, 3.342971, 0.0], [0.0, 0.0, 8.256121]]","[[0.877, 0.25, 0.0399], [0.584, 0.75, 0.135], [0.0844, 0.75, 0.365], [0.377, 0.25, 0.46], [0.623, 0.75, 0.54], [0.916, 0.25, 0.635], [0.416, 0.25, 0.865], [0.123, 0.75, 0.96], [0.264, 0.25, 0.167], [0.764, 0.25, 0.333], [0.236, 0.75, 0.667], [0.736, 0.75, 0.833]]","[15, 15, 15, 15, 15, 15, 15, 15, 22, 22, 22, 22]",4606,150008,-0.999254622235379,0.0,12,Pnma
P,"[[12.651384, 0.0273, -0.134595], [-1.82355, 12.891371, 0.030127], [-2.134163, -3.525941, 6.151183]]","[[0.173, 0.128, 0.0785], [0.177, 0.951, 0.0795], [0.152, 0.394, 0.08], [0.155, 0.684, 0.0819], [0.433, 0.0821, 0.0956], [0.407, 0.827, 0.119], [0.404, 0.335, 0.121], [0.4, 0.58, 0.122], [0.0798, 0.548, 0.157], [0.73, 0.523, 0.232], [0.728, 0.771, 0.235], [0.724, 0.275, 0.235], [0.851, 0.416, 0.25], [0.853, 0.67, 0.252], [0.83, 0.157, 0.258], [0.833, 0.929, 0.258], [0.702, 0.024, 0.26], [0.369, 0.998, 0.263], [0.364, 0.226, 0.264], [0.34, 0.485, 0.278], [0.343, 0.738, 0.279], [0.657, 0.262, 0.721], [0.66, 0.515, 0.722], [0.636, 0.774, 0.736], [0.631, 0.00231, 0.737], [0.298, 0.976, 0.74], [0.167, 0.0712, 0.742], [0.17, 0.843, 0.742], [0.147, 0.33, 0.748], [0.149, 0.584, 0.75], [0.276, 0.725, 0.765], [0.272, 0.229, 0.765], [0.27, 0.477, 0.768], [0.92, 0.452, 0.843], [0.6, 0.42, 0.878], [0.596, 0.665, 0.879], [0.593, 0.173, 0.881], [0.567, 0.918, 0.904], [0.845, 0.316, 0.918], [0.848, 0.606, 0.92], [0.823, 0.0489, 0.921], [0.827, 0.872, 0.922]]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24584,1151510,0.0,0.0,42,P-1
Ti,"[[4.550057, 4e-05, 0.0], [-2.274994, 3.940485, 0.0], [0.0, 0.0, 2.809682]]","[[4.74e-06, 5.08e-06, 0.0], [0.667, 0.333, 0.5], [0.333, 0.667, 0.5]]","[22, 22, 22]",9315,1276149,0.0,0.0,3,P6/mmm
Hf,"[[3.193987, 0.0, 0.0], [-1.596993, 2.766073, 0.0], [0.0, 0.0, 5.059729]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[72, 72]",1215332,1282542,0.0,0.0,2,P63/mmc
Hf3P2,"[[10.185902, 0.0, 0.0], [0.0, 3.581614, 0.0], [0.0, 0.0, 9.859811]]","[[0.376, 0.25, 0.0647], [0.0459, 0.25, 0.126], [0.784, 0.75, 0.203], [0.284, 0.75, 0.297], [0.546, 0.25, 0.374], [0.876, 0.25, 0.435], [0.124, 0.75, 0.565], [0.454, 0.75, 0.626], [0.716, 0.25, 0.703], [0.216, 0.25, 0.797], [0.954, 0.75, 0.874], [0.624, 0.75, 0.935], [0.807, 0.25, 0.000238], [0.527, 0.75, 0.179], [0.0272, 0.75, 0.321], [0.307, 0.25, 0.5], [0.693, 0.75, 0.5], [0.973, 0.25, 0.679], [0.473, 0.25, 0.821], [0.193, 0.75, 1.0]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 15, 15, 15, 15, 15, 15, 15, 15]",590943,1294079,-1.25621860208397,0.0,20,Pnma
Hf3P,"[[10.691282, 0.0, 0.0], [0.0, 10.691282, 0.0], [0.0, 0.0, 5.302629]]","[[0.723, 0.612, 0.0292], [0.777, 0.888, 0.0292], [0.357, 0.666, 0.218], [0.143, 0.834, 0.218], [0.0691, 0.534, 0.239], [0.431, 0.966, 0.239], [0.966, 0.0691, 0.261], [0.534, 0.431, 0.261], [0.666, 0.143, 0.282], [0.834, 0.357, 0.282], [0.888, 0.723, 0.471], [0.612, 0.777, 0.471], [0.388, 0.223, 0.529], [0.112, 0.277, 0.529], [0.166, 0.643, 0.718], [0.334, 0.857, 0.718], [0.466, 0.569, 0.739], [0.0341, 0.931, 0.739], [0.569, 0.0341, 0.761], [0.931, 0.466, 0.761], [0.857, 0.166, 0.782], [0.643, 0.334, 0.782], [0.223, 0.112, 0.971], [0.277, 0.388, 0.971], [0.456, 0.21, 0.0358], [0.0442, 0.29, 0.0358], [0.21, 0.0442, 0.464], [0.29, 0.456, 0.464], [0.71, 0.544, 0.536], [0.79, 0.956, 0.536], [0.956, 0.71, 0.964], [0.544, 0.79, 0.964]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 15, 15, 15, 15, 15, 15, 15, 15]",6586,1359484,-0.856495779114985,0.0,32,P42/n
Ti3P,"[[9.927796, 0.0, 0.0], [0.0, 9.927796, 0.0], [0.0, 0.0, 4.967486]]","[[0.043, 0.208, 0.0366], [0.457, 0.292, 0.0366], [0.292, 0.043, 0.463], [0.208, 0.457, 0.463], [0.792, 0.543, 0.537], [0.708, 0.957, 0.537], [0.543, 0.708, 0.963], [0.957, 0.792, 0.963], [0.778, 0.61, 0.0316], [0.722, 0.89, 0.0316], [0.144, 0.667, 0.214], [0.356, 0.833, 0.214], [0.431, 0.534, 0.241], [0.069, 0.966, 0.241], [0.534, 0.069, 0.259], [0.966, 0.431, 0.259], [0.833, 0.144, 0.286], [0.667, 0.356, 0.286], [0.61, 0.722, 0.468], [0.89, 0.778, 0.468], [0.11, 0.222, 0.532], [0.39, 0.278, 0.532], [0.333, 0.644, 0.714], [0.167, 0.856, 0.714], [0.0337, 0.569, 0.741], [0.466, 0.931, 0.741], [0.931, 0.0337, 0.759], [0.569, 0.466, 0.759], [0.644, 0.167, 0.786], [0.856, 0.333, 0.786], [0.278, 0.11, 0.968], [0.222, 0.39, 0.968]]","[15, 15, 15, 15, 15, 15, 15, 15, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]",7984,1359492,-0.963507360392182,0.0,32,P42/n
Hf2P,"[[15.062919, 0.0, 0.0], [0.0, 12.267923, 0.0], [0.0, 0.0, 3.595199]]","[[0.754, 0.0968, 0.0], [0.0844, 0.117, 0.0], [0.522, 0.16, 0.0], [0.291, 0.187, 0.0], [0.424, 0.412, 0.0], [0.894, 0.474, 0.0], [0.106, 0.526, 0.0], [0.576, 0.588, 0.0], [0.709, 0.813, 0.0], [0.478, 0.84, 0.0], [0.916, 0.883, 0.0], [0.246, 0.903, 0.0], [0.394, 0.0257, 0.5], [0.924, 0.0878, 0.5], [0.791, 0.313, 0.5], [0.022, 0.34, 0.5], [0.584, 0.383, 0.5], [0.254, 0.403, 0.5], [0.746, 0.597, 0.5], [0.416, 0.617, 0.5], [0.978, 0.66, 0.5], [0.209, 0.687, 0.5], [0.0763, 0.912, 0.5], [0.606, 0.974, 0.5], [0.909, 0.244, 0.0], [0.15, 0.313, 0.0], [0.712, 0.443, 0.0], [0.288, 0.557, 0.0], [0.85, 0.687, 0.0], [0.0911, 0.756, 0.0], [0.212, 0.0573, 0.5], [0.65, 0.187, 0.5], [0.409, 0.256, 0.5], [0.591, 0.744, 0.5], [0.35, 0.813, 0.5], [0.788, 0.943, 0.5]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",4605,1381337,-1.08812411937554,0.0,36,Pnnm
HfTi2,"[[4.670050538, 0.0, 0.0], [-2.335025269, 4.044382403, 0.0], [0.0, 0.0, 2.979964716]]","[[0.0, 0.0, 0.0], [0.667, 0.333, 0.5], [0.333, 0.667, 0.5]]","[72, 22, 22]",1366289,3431927,-0.0617024908575085,0.0,3,P6/mmm
HfTi5,"[[5.166718195, 0.0, 0.0], [-2.583359097, 4.474509211, 0.0], [0.0, 0.0, 4.673321357]]","[[0.0, 0.0, 0.0], [0.667, 0.333, 0.0], [0.333, 0.667, 0.0], [0.649, 0.0, 0.5], [0.351, 0.351, 0.5], [0.0, 0.649, 0.5]]","[72, 22, 22, 22, 22, 22]",1435756,3540555,-0.0348161389885533,0.0,6,P-62m
HfP2,"[[6.468796321, 0.0, 0.0], [0.0, 3.500500463, 0.0], [0.0, 0.0, 8.682359397]]","[[0.278, 0.75, 0.163], [0.778, 0.75, 0.337], [0.222, 0.25, 0.663], [0.722, 0.25, 0.837], [0.89, 0.75, 0.0398], [0.593, 0.25, 0.143], [0.0928, 0.25, 0.357], [0.39, 0.75, 0.46], [0.61, 0.25, 0.54], [0.907, 0.75, 0.643], [0.407, 0.75, 0.857], [0.11, 0.25, 0.96]]","[72, 72, 72, 72, 15, 15, 15, 15, 15, 15, 15, 15]",1436037,3550138,-1.09514971263996,0.0,12,Pnma
Ti2P,"[[6.460818409, 0.0, 0.0], [0.0, 3.430751039, 0.0], [0.0, 0.0, 7.969418301]]","[[0.752, 0.25, 0.138], [0.252, 0.25, 0.362], [0.748, 0.75, 0.638], [0.248, 0.75, 0.862], [0.138, 0.25, 0.0636], [0.461, 0.75, 0.17], [0.961, 0.75, 0.33], [0.638, 0.25, 0.436], [0.362, 0.75, 0.564], [0.0393, 0.25, 0.67], [0.539, 0.25, 0.83], [0.862, 0.75, 0.936]]","[15, 15, 15, 15, 22, 22, 22, 22, 22, 22, 22, 22]",1371291,3602457,-1.19976777967749,0.0,12,Pnma
HfTiP,"[[6.709056835, 0.0, 0.0], [0.0, 3.54574916, 0.0], [0.0, 0.0, 8.126093753]]","[[0.462, 0.75, 0.169], [0.962, 0.75, 0.331], [0.0378, 0.25, 0.669], [0.538, 0.25, 0.831], [0.761, 0.25, 0.14], [0.261, 0.25, 0.36], [0.739, 0.75, 0.64], [0.239, 0.75, 0.86], [0.135, 0.25, 0.059], [0.635, 0.25, 0.441], [0.365, 0.75, 0.559], [0.865, 0.75, 0.941]]","[72, 72, 72, 72, 15, 15, 15, 15, 22, 22, 22, 22]",1372220,3602630,-1.2318096534154,0.0,12,Pnma
TiP4,"[[2.686785946, -5.674605993, 0.0], [2.686785946, 5.674605993, 0.0], [-2.224326764, 0.0, 5.629474612]]","[[0.184, 0.373, 0.178], [0.503, 0.0518, 0.188], [0.948, 0.497, 0.312], [0.627, 0.816, 0.322], [0.373, 0.184, 0.678], [0.0518, 0.503, 0.688], [0.497, 0.948, 0.812], [0.816, 0.627, 0.822], [0.0618, 0.938, 0.25], [0.938, 0.0618, 0.75]]","[15, 15, 15, 15, 15, 15, 15, 15, 22, 22]",1887137,4943587,-0.6133835439252031,0.0,10,C2/c
HfTi2P,"[[3.486538595, 0.0, 0.0], [0.0, 7.758331047, 0.0], [-1.742575055, 0.0, 4.893095742]]","[[0.556, 0.25, 0.111], [0.444, 0.75, 0.889], [0.732, 0.75, 0.463], [0.268, 0.25, 0.537], [0.141, 0.544, 0.282], [0.141, 0.956, 0.282], [0.859, 0.044, 0.718], [0.859, 0.456, 0.718]]","[72, 72, 15, 15, 22, 22, 22, 22]",1991140,5007852,-0.9605570816331168,0.0,8,P21/m
Ti3P2,"[[9.614585689, 0.0, 0.0], [0.0, 3.450630112, 0.0], [0.0, 0.0, 9.107103252]]","[[0.193, 0.25, 0.00072], [0.525, 0.25, 0.179], [0.0251, 0.25, 0.321], [0.693, 0.25, 0.499], [0.307, 0.75, 0.501], [0.975, 0.75, 0.679], [0.475, 0.75, 0.821], [0.807, 0.75, 0.999], [0.373, 0.75, 0.0677], [0.0429, 0.75, 0.125], [0.783, 0.25, 0.203], [0.283, 0.25, 0.297], [0.543, 0.75, 0.375], [0.873, 0.75, 0.432], [0.127, 0.25, 0.568], [0.457, 0.25, 0.625], [0.717, 0.75, 0.703], [0.217, 0.75, 0.797], [0.957, 0.25, 0.875], [0.627, 0.25, 0.932]]","[15, 15, 15, 15, 15, 15, 15, 15, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]",1983432,5054401,-1.2930388908557333,0.0,20,Pnma
Ti7P4,"[[7.323320184, -1.694403054, 0.0], [7.323320184, 1.694403054, 0.0], [-3.448519796, 0.0, 13.148776508]]","[[0.178, 0.178, 0.109], [0.938, 0.938, 0.151], [0.37, 0.37, 0.342], [0.627, 0.627, 0.396], [0.373, 0.373, 0.604], [0.63, 0.63, 0.658], [0.0618, 0.0618, 0.849], [0.822, 0.822, 0.891], [0.0, 0.0, 0.0], [0.339, 0.339, 0.0323], [0.57, 0.57, 0.171], [0.794, 0.794, 0.206], [0.197, 0.197, 0.307], [0.996, 0.996, 0.338], [0.821, 0.821, 0.459], [0.5, 0.5, 0.5], [0.179, 0.179, 0.541], [0.00362, 0.00362, 0.662], [0.803, 0.803, 0.693], [0.206, 0.206, 0.794], [0.43, 0.43, 0.829], [0.661, 0.661, 0.968]]","[15, 15, 15, 15, 15, 15, 15, 15, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]",2053079,5180461,-1.253874718849417,0.0,22,C2/m
Ti12P7,"[[9.732619125, 0.0, 0.0], [-4.866309562, 8.428695407, 0.0], [0.0, 0.0, 3.419788524]]","[[0.0, 0.0, 0.0], [0.719, 0.158, 0.0], [0.438, 0.281, 0.0], [0.842, 0.562, 0.0], [0.17, 0.456, 0.5], [0.544, 0.714, 0.5], [0.286, 0.83, 0.5], [0.0121, 0.265, 0.0], [0.376, 0.507, 0.0], [0.131, 0.624, 0.0], [0.735, 0.748, 0.0], [0.493, 0.869, 0.0], [0.252, 0.988, 0.0], [0.799, 0.00889, 0.5], [0.516, 0.132, 0.5], [0.21, 0.201, 0.5], [0.868, 0.385, 0.5], [0.615, 0.484, 0.5], [0.991, 0.79, 0.5]]","[15, 15, 15, 15, 15, 15, 15, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]",2132314,5580908,-1.2621189756923545,0.0,19,P-6
Sc,"[[3.291713, 0.0, 0.0], [-1.645857, 2.850632, 0.0], [0.0, 0.0, 5.110283]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[21, 21]",8146,5242,0.0,0.0,2,P63/mmc
Sc2Sb,"[[4.196163, 0.0, 0.0], [0.0, 4.196163, 0.0], [0.0, 0.0, 7.803909]]","[[0.25, 0.25, 0.281], [0.75, 0.75, 0.719], [0.75, 0.25, 0.0], [0.25, 0.75, 0.0], [0.75, 0.75, 0.345], [0.25, 0.25, 0.655]]","[51, 51, 21, 21, 21, 21]",31045,17366,-0.785502008333333,0.0,6,P4/nmm
Hf5Sc,"[[5.549461, 1.4e-05, 0.0], [-2.774719, 4.805981, 0.0], [0.0, 0.0, 5.033518]]","[[0.661, 4.32e-06, 0.0], [0.339, 0.339, 0.0], [3e-06, 0.661, 0.0], [0.667, 0.333, 0.5], [0.333, 0.667, 0.5], [7.77e-06, 8.32e-06, 0.5]]","[72, 72, 72, 72, 72, 21]",21373,19753,-0.0116684866666681,0.0,6,P-62m
Hf3Sb,"[[0.0, 0.0, 5.680408], [-5.609438, -5.609438, -2.840204], [5.609438, -5.609438, 2.840204]]","[[0.286, 0.188, 0.0227], [0.95, 0.402, 0.0285], [0.691, 0.977, 0.188], [0.621, 0.623, 0.331], [0.00184, 0.331, 0.377], [0.0216, 0.972, 0.402], [0.452, 0.0285, 0.598], [0.0478, 0.669, 0.623], [0.329, 0.377, 0.669], [0.902, 0.0227, 0.812], [0.576, 0.598, 0.972], [0.121, 0.812, 0.977], [0.184, 0.678, 0.258], [0.494, 0.258, 0.322], [0.558, 0.742, 0.678], [0.764, 0.322, 0.742]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 51, 51, 51, 51]",647081,1263926,-0.373819484375,0.0,16,I-4
HfSb2,"[[15.099611, 0.0, 0.0], [0.0, 9.965172, 0.0], [0.0, 0.0, 3.898505]]","[[0.248, 0.0217, 0.0], [0.506, 0.167, 0.0], [0.494, 0.833, 0.0], [0.752, 0.978, 0.0], [0.00616, 0.333, 0.5], [0.748, 0.478, 0.5], [0.252, 0.522, 0.5], [0.994, 0.667, 0.5], [0.0574, 0.119, 0.0], [0.698, 0.267, 0.0], [0.345, 0.341, 0.0], [0.895, 0.487, 0.0], [0.105, 0.513, 0.0], [0.655, 0.659, 0.0], [0.302, 0.733, 0.0], [0.943, 0.881, 0.0], [0.395, 0.0126, 0.5], [0.845, 0.159, 0.5], [0.198, 0.233, 0.5], [0.557, 0.381, 0.5], [0.443, 0.619, 0.5], [0.802, 0.767, 0.5], [0.155, 0.841, 0.5], [0.605, 0.987, 0.5]]","[72, 72, 72, 72, 72, 72, 72, 72, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51]",7895,1336076,-0.4202376375,0.0,24,Pnnm
HfScSb,"[[-2.076069882, 2.076069882, 7.890580651], [2.076069882, -2.076069882, 7.890580651], [2.076069882, 2.076069882, -7.890580651]]","[[0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.14, 0.14, 0.0], [0.86, 0.86, 0.0], [0.327, 0.327, 0.0], [0.673, 0.673, 0.0]]","[72, 72, 51, 51, 21, 21]",1373027,3458680,-0.653552023333334,0.0,6,I4/mmm
Sb,"[[4.375198, 0.0, 0.0], [-2.187599, 3.789171, 0.0], [-1e-06, -0.002406, 22.924316]]","[[0.667, 0.333, 0.0335], [0.0, 0.0, 0.132], [0.333, 0.667, 0.199], [0.667, 0.333, 0.3], [0.0, 0.0, 0.367], [0.333, 0.667, 0.467], [0.667, 0.333, 0.533], [0.0, 0.0, 0.633], [0.333, 0.667, 0.7], [0.667, 0.333, 0.801], [0.0, 0.0, 0.868], [0.333, 0.667, 0.966]]","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51]",1787572,4629302,-1.9464166666871563e-05,0.0,12,C2/m
ScSb,"[[4.148543523, 0.0, 0.0], [-2.074271762, 3.59274408, 0.0], [0.0, 0.0, 13.684444457]]","[[0.0, 0.0, 0.0], [0.333, 0.667, 0.25], [0.0, 0.0, 0.5], [0.667, 0.333, 0.75], [0.667, 0.333, 0.122], [0.667, 0.333, 0.378], [0.333, 0.667, 0.622], [0.333, 0.667, 0.878]]","[51, 51, 51, 51, 21, 21, 21, 21]",1881021,4906515,-0.94333315,0.0,8,P63/mmc
