Unnamed: 0,composition,type,cell,positions,numbers,initial_cell,initial_positions,initial_numbers,optimized_formula,optimized_cell,optimized_positions,optimized_numbers,Energy (eV/atom),Formation Energy (eV/atom),Hull Distance (eV/atom)
9251,Cr2ZnGe,inverse,"[[2.69998514, 2.69998514, -0.0], [-2.69998514, 2.69998514, -0.0], [0.0, 0.0, 7.6071786]]","[[0.4999999999999999, 4.111959759249477e-17, 0.24999999999999997], [0.9999999999999998, 0.4999999999999998, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.111959759249477e-17, 0.7499999999999998], [0.9999999999999998, 0.4999999999999998, 0.24999999999999997], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.49999999999999983]]","[24, 24, 24, 24, 30, 30, 32, 32]","[[2.69998514, 2.69998514, -0.0], [-2.69998514, 2.69998514, -0.0], [0.0, 0.0, 7.6071786]]","[[0.4999999999999999, 4.111959759249477e-17, 0.24999999999999997], [0.9999999999999998, 0.4999999999999998, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.111959759249477e-17, 0.7499999999999998], [0.9999999999999998, 0.4999999999999998, 0.24999999999999997], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.49999999999999983]]","[24, 24, 24, 24, 30, 30, 32, 32]",Cr4Ge2Zn2,"[[2.6338210799960167, 2.6338210799960167, 6.95665911243931e-29], [-2.6338210799960162, 2.633821079996016, 6.95665911243933e-29], [1.234231153728867e-42, 1.864439484363846e-28, 8.26039944038754]]","[[0.49999999999999983, 8.472278543488639e-17, 0.2499999999999999], [1.0000000000000002, 0.5000000000000007, 0.7500000000000001], [-1.404187747384729e-16, -2.4059615631506098e-17, 0.4999999999999998], [0.5, 0.5000000000000003, -2.9188825003402864e-17], [0.49999999999999983, 1.4023393666612651e-16, 0.7500000000000001], [1.0000000000000002, 0.5000000000000007, 0.2499999999999999], [-1.233587927774843e-16, -4.111959759249481e-17, -2.9188825003402864e-17], [0.5000000000000001, 0.5000000000000003, 0.4999999999999998]]","[24, 24, 24, 24, 30, 30, 32, 32]",-6.087460994720459,0.1664856672286987,0.24701790014902741
9651,Cr2RuGe,full,"[[2.49365065, 2.49365065, 0.0], [-2.49365065, 2.49365065, -0.0], [0.0, 0.0, 8.27712468]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 44, 44, 32, 32]","[[2.49365065, 2.49365065, 0.0], [-2.49365065, 2.49365065, -0.0], [0.0, 0.0, 8.27712468]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 44, 44, 32, 32]",Cr4Ge2Ru2,"[[2.5025732116544943, 2.5025732116544943, -1.99449044481347e-18], [-2.502573211654494, 2.502573211654494, -1.9944904448131697e-18], [9.8350739241401e-32, -6.627033902261474e-18, 8.326986105967412]]","[[0.5, -1.7587938000720947e-17, 0.25000000000000017], [7.597388938587871e-17, 0.5000000000000001, 0.750000000000001], [0.49999999999999994, 6.634081082732097e-17, 0.750000000000001], [4.755629178909463e-17, 0.5000000000000001, 0.25000000000000017], [-1.3454887133561538e-17, 1.3454887133561551e-17, 0.5000000000000003], [0.49999999999999994, 0.5000000000000001, -2.202576639273707e-36], [0.0, 0.0, 0.0], [0.5, 0.5000000000000001, 0.5000000000000003]]","[24, 24, 24, 24, 44, 44, 32, 32]",-8.27454948425293,-0.020679235458374,0.15621725718180365
9893,Cr2PdAs,full,"[[3.17737277, 3.17737277, -0.0], [-3.17737277, 3.17737277, -0.0], [-0.0, -0.0, 6.13216321]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 46, 46, 33, 33]","[[3.17737277, 3.17737277, -0.0], [-3.17737277, 3.17737277, -0.0], [-0.0, -0.0, 6.13216321]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 46, 46, 33, 33]",As2Cr4Pd2,"[[3.299935744745194, 3.2999357447451927, -8.806867281552935e-18], [-3.299935744745194, 3.2999357447451927, -8.806867281552848e-18], [-8.091226366870952e-32, -1.9196840115679523e-17, 5.611255618554277]]","[[0.4999999999999997, 2.71873958118893e-16, 0.24999999999999983], [-9.664351635885082e-16, 0.4999999999999995, 0.750000000000001], [0.49999999999999967, 3.010838681216572e-16, 0.750000000000001], [-9.678894979756436e-16, 0.4999999999999995, 0.24999999999999983], [-9.6631392327382e-17, 4.313477362048774e-17, 0.4999999999999997], [0.49999999999999856, 0.49999999999999994, 7.24196657267481e-17], [-9.663139232738201e-17, 4.3134773620487745e-17, 7.241966572674807e-17], [0.49999999999999856, 0.49999999999999994, 0.49999999999999956]]","[24, 24, 24, 24, 46, 46, 33, 33]",-7.140238285064697,0.1309301853179931,0.3090661366780598
10527,CrIrIn,half,"[[-0.0, 2.97798331, 2.97798331], [2.97798331, -0.0, 2.97798331], [2.97798331, 2.97798331, -0.0]]","[[0.25, 0.25, 0.2499999999999999], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[24, 77, 49]","[[-0.0, 2.97798331, 2.97798331], [2.97798331, -0.0, 2.97798331], [2.97798331, 2.97798331, -0.0]]","[[0.25, 0.25, 0.2499999999999999], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]","[24, 77, 49]",CrInIr,"[[-3.0423463261557125e-18, 2.966160392370856, 2.966160392370856], [2.966160392370856, -1.7814537903081454e-19, 2.966160392370856], [2.966160392370856, 2.966160392370856, 1.8153146191391686e-18]]","[[0.24999999999999983, 0.25000000000000017, 0.25000000000000033], [0.4999999999999997, 0.5000000000000003, 0.4999999999999996], [-3.728674260124322e-32, -1.4912414329483353e-16, -1.491241432948336e-16]]","[24, 77, 49]",-6.742035547892253,0.3241783777872715,0.5022451612684455
15107,FeNbGa,half,"[[2.91605709, 2.91605709, 0.0], [-2.91605709, 2.91605709, -0.0], [0.0, 0.0, 5.83922475]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[26, 26, 41, 41, 31, 31]","[[2.91605709, 2.91605709, 0.0], [-2.91605709, 2.91605709, -0.0], [0.0, 0.0, 5.83922475]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[26, 26, 41, 41, 31, 31]",Fe2Ga2Nb2,"[[2.9129666217130135, 2.912966621713012, 1.7240540353358718e-19], [-2.9129666217130135, 2.912966621713012, 1.724054035335872e-19], [-3.2997789794105764e-35, 3.4481080931978055e-19, 5.8259331995079515]]","[[0.5, -8.189165754162318e-17, 0.24999999999999997], [-4.630526427212449e-16, 0.49999999999999967, 0.7499999999999998], [-8.121434907613769e-35, -1.2351367296334145e-33, 0.5], [0.4999999999999988, 0.5000000000000003, -3.805727993149655e-17], [-1.9259255822011738e-33, -7.703763399409618e-34, -3.805727993149655e-17], [0.4999999999999988, 0.5000000000000003, 0.5]]","[26, 26, 41, 41, 31, 31]",-7.129173278808594,0.0673362414042157,0.3450565489511641
15272,Fe2RuAs,full,"[[2.56544887, 2.56544887, -0.0], [-2.56544887, 2.56544887, 0.0], [-0.0, -0.0, 8.09270415]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 44, 44, 33, 33]","[[2.56544887, 2.56544887, -0.0], [-2.56544887, 2.56544887, 0.0], [-0.0, -0.0, 8.09270415]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 44, 44, 33, 33]",As2Fe4Ru2,"[[2.5543627194849092, 2.55436271948491, 1.9206103367197913e-18], [-2.554362719484909, 2.5543627194849097, 1.920610336720104e-18], [1.5632118358261631e-31, 6.1711197329097956e-18, 8.267995358644342]]","[[0.5, 4.73540163427149e-18, 0.2500000000000002], [1.214631632476107e-17, 0.5000000000000002, 0.7500000000000006], [0.5, 4.131423224526098e-18, 0.7500000000000006], [1.2750294734506494e-17, 0.5000000000000002, 0.2500000000000002], [-5.75732006193589e-17, 5.757320061935894e-17, 0.5000000000000004], [0.5, 0.5000000000000001, -1.513365666954831e-35], [-4.327597550697456e-17, 4.327597550697458e-17, -1.68957804953034e-51], [0.5, 0.5000000000000001, 0.5000000000000004]]","[26, 26, 26, 26, 44, 44, 33, 33]",-7.649261951446533,0.0638346672058105,0.21487450599670405
15419,Fe2RhBi,full,"[[2.74045428, 2.74045428, 0.0], [-2.74045428, 2.74045428, -0.0], [-0.0, -0.0, 8.50995618]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 45, 45, 83, 83]","[[2.74045428, 2.74045428, 0.0], [-2.74045428, 2.74045428, -0.0], [-0.0, -0.0, 8.50995618]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[26, 26, 26, 26, 45, 45, 83, 83]",Bi2Fe4Rh2,"[[2.777862398503447, 2.777862398503447, -9.317164132849308e-18], [-2.7778623985034474, 2.7778623985034474, -9.317164132849699e-18], [-1.3073607956375722e-31, -2.878006395221666e-17, 8.431949988135184]]","[[0.5000000000000003, 2.260747477111989e-16, 0.25000000000000006], [-1.2552220025271237e-17, 0.5000000000000001, 0.7500000000000007], [0.5000000000000003, 2.8417602579392726e-16, 0.7500000000000007], [-7.065349810799963e-17, 0.5000000000000001, 0.25000000000000006], [2.2343032735194533e-17, 1.3970645412946599e-16, 0.5000000000000001], [0.5000000000000004, 0.5000000000000003, -1.8088939684253946e-34], [-4.0512371716165176e-17, 4.051237171616512e-17, -4.029796422977583e-51], [0.5000000000000003, 0.5000000000000002, 0.5000000000000001]]","[26, 26, 26, 26, 45, 45, 83, 83]",-6.763807773590088,0.2690081596374511,0.36526775360107416
15452,FePdSi,half,"[[-0.0, 2.7942945, 2.7942945], [2.7942945, 0.0, 2.7942945], [2.7942945, 2.7942945, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 46, 14]","[[-0.0, 2.7942945, 2.7942945], [2.7942945, 0.0, 2.7942945], [2.7942945, 2.7942945, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 46, 14]",FePdSi,"[[9.32594067162934e-18, 2.8273120099477262, 2.8273120099477262], [2.8273120099477262, 1.078284461256295e-17, 2.8273120099477262], [2.8273120099477262, 2.8273120099477262, 1.9120568307179688e-17]]","[[0.2500000000000002, 0.25000000000000006, 0.24999999999999972], [0.5000000000000004, 0.5000000000000001, 0.49999999999999944], [-7.946356582136617e-17, 7.946356582136609e-17, -7.94635658213662e-17]]","[26, 46, 14]",-6.306303024291992,0.0536095301310224,0.5750229888492167
16651,CoVIn,half,"[[0.0, 2.92901993, 2.92901993], [2.92901993, 0.0, 2.92901993], [2.92901993, 2.92901993, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[27, 23, 49]","[[0.0, 2.92901993, 2.92901993], [2.92901993, 0.0, 2.92901993], [2.92901993, 2.92901993, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[27, 23, 49]",CoInV,"[[2.1819522781349066e-20, 2.9267880847566823, 2.9267880847566823], [2.9267880847566823, 6.245247219720309e-20, 2.9267880847566823], [2.9267880847566823, 2.9267880847566823, -2.2014208004319096e-19]]","[[0.25000000000000006, 0.25000000000000006, 0.24999999999999997], [0.5000000000000001, 0.49999999999999994, 0.5], [1.1371274875126814e-16, 3.790424958375604e-17, -1.1371274875126814e-16]]","[27, 23, 49]",-6.1334889729817705,0.1600476900736493,0.28820663028293214
17602,CoYGe,half,"[[3.07295526, 3.07295526, 0.0], [-3.07295526, 3.07295526, 0.0], [0.0, 0.0, 6.13955558]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 39, 39, 32, 32]","[[3.07295526, 3.07295526, 0.0], [-3.07295526, 3.07295526, 0.0], [0.0, 0.0, 6.13955558]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[27, 27, 39, 39, 32, 32]",Co2Ge2Y2,"[[3.079230118722744, 3.0792301187227467, -1.0188548191627146e-19], [-3.079230118722744, 3.0792301187227467, -1.0188548191625692e-19], [3.209602064101484e-32, -2.0377096376392534e-19, 6.158460241499281]]","[[0.49999999999999967, 3.7656624897785804e-16, 0.25], [-4.3350154197645467e-16, 0.49999999999999944, 0.7500000000000001], [-1.3068001698113235e-32, 1.2739661005702937e-32, 0.5], [0.499999999999999, 0.5, -1.5306826466794512e-35], [-1.4637067485507494e-32, 1.5407439463262377e-32, -1.750033467086158e-67], [0.499999999999999, 0.5, 0.5]]","[27, 27, 39, 39, 32, 32]",-6.396877288818359,-0.382108211517334,0.3044706980387373
17884,CoMoBi,half,"[[3.02730241, 3.02730241, -0.0], [-3.02730241, 3.02730241, -0.0], [-0.0, -0.0, 6.05430808]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[27, 27, 42, 42, 83, 83]","[[3.02730241, 3.02730241, -0.0], [-3.02730241, 3.02730241, -0.0], [-0.0, -0.0, 6.05430808]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]","[27, 27, 42, 42, 83, 83]",Bi2Co2Mo2,"[[3.032126827139297, 3.032126827139298, -6.863404533091883e-19], [-3.032126827139297, 3.032126827139299, -6.863404533091965e-19], [1.6287657462797783e-32, -8.909665334347793e-16, 6.064253572350372]]","[[0.5, 1.803332413846856e-17, 0.24999999999999994], [-7.503960298200074e-17, 0.5000000000000002, 0.7500000000000001], [-3.667547168651052e-17, 1.1002162191482597e-16, 0.49999999999999994], [0.49999999999999956, 0.5000000000000001, -7.334854680066828e-17], [-2.2004564040200484e-16, 7.334854680066814e-17, -7.334854680066836e-17], [0.4999999999999996, 0.5000000000000002, 0.49999999999999994]]","[27, 27, 42, 42, 83, 83]",-6.724416732788086,0.5291843414306641,0.552192317114936
19913,NiZnSn,half,"[[2.97868417, 2.97868417, 0.0], [-2.97868417, 2.97868417, -0.0], [-0.0, 0.0, 5.93018575]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 30, 30, 50, 50]","[[2.97868417, 2.97868417, 0.0], [-2.97868417, 2.97868417, -0.0], [-0.0, 0.0, 5.93018575]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 30, 30, 50, 50]",Ni2Sn2Zn2,"[[2.9719054921391765, 2.971905492139177, 3.8599528634850877e-31], [-2.9719054921391774, 2.9719054921391774, 3.859952863487728e-31], [-2.377323151133202e-43, 7.882663301710261e-31, 5.943763472255756]]","[[0.5000000000000007, 3.7984160407389495e-15, 0.25000000000000017], [7.166611909528806e-17, 0.4999999999999999, 0.7500000000000009], [1.7180309414542302e-17, 1.718030941454236e-17, 0.5000000000000003], [0.5000000000000013, 0.5000000000000031, 7.488622255214572e-17], [1.718030941454231e-17, 1.7180309414542364e-17, 7.488622255214572e-17], [0.5000000000000013, 0.5000000000000031, 0.5000000000000002]]","[28, 28, 30, 30, 50, 50]",-3.848395665486654,-0.1803248723347983,0.027751026731548833
20138,Ni2MoSn,full,"[[2.9023715, 2.9023715, 0.0], [-2.9023715, 2.9023715, -0.0], [-0.0, -0.0, 6.84588218]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 42, 42, 50, 50]","[[2.9023715, 2.9023715, 0.0], [-2.9023715, 2.9023715, -0.0], [-0.0, -0.0, 6.84588218]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[28, 28, 28, 28, 42, 42, 50, 50]",Mo2Ni4Sn2,"[[2.852324734195161, 2.8523247341951627, 1.69639291968321e-17], [-2.8523247341951614, 2.852324734195163, 1.696392919683226e-17], [6.86353543554705e-32, 3.9408430704167493e-17, 7.141674533527579]]","[[0.5000000000000001, 1.0622934687728592e-16, 0.25000000000000006], [3.675677797973619e-17, 0.49999999999999994, 0.75], [0.5000000000000001, 1.0277528445657708e-16, 0.75], [4.0210840400445043e-17, 0.49999999999999994, 0.25000000000000006], [-2.2756276570718113e-17, 2.2756276570718098e-17, 0.5000000000000001], [0.5000000000000001, 0.5, 5.872291293311698e-34], [-3.825227144854324e-17, 3.825227144854322e-17, -1.273647546434216e-50], [0.5000000000000001, 0.5, 0.5000000000000001]]","[28, 28, 28, 28, 42, 42, 50, 50]",-6.522717475891113,0.0716968774795532,0.2510613203048707
23201,CuOsSi,half,"[[2.40401898, 2.40401898, -0.0], [-2.40401898, 2.40401898, 0.0], [0.0, 0.0, 8.04314526]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 29, 76, 76, 14, 14]","[[2.40401898, 2.40401898, -0.0], [-2.40401898, 2.40401898, 0.0], [0.0, 0.0, 8.04314526]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 29, 76, 76, 14, 14]",Cu2Os2Si2,"[[2.3758481194935985, 2.3758481194935985, -4.049789429835615e-24], [-2.375848119493599, 2.3758481194935985, -4.049789429835615e-24], [2.7729227512483027e-43, -1.414094412399745e-23, 8.287989292825134]]","[[0.5000000000000014, 1.7204025129483188e-15, 0.25000000000000006], [8.130276149879647e-17, 0.4999999999999999, 0.7500000000000001], [-3.503379904558279e-17, 3.503379904558258e-17, 0.5000000000000001], [0.5000000000000016, 0.5000000000000016, -3.014640472425066e-42], [-4.6181957541165466e-17, 4.618195754116517e-17, -2.9377378025532253e-58], [0.5000000000000016, 0.5000000000000016, 0.5000000000000001]]","[29, 29, 76, 76, 14, 14]",-6.612996419270833,0.2882798512776698,0.5371244218614374
23521,Zn2ScGa,full,"[[2.92141164, 2.92141164, 0.0], [-2.92141164, 2.92141164, 0.0], [-0.0, -0.0, 8.0957855]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 21, 21, 31, 31]","[[2.92141164, 2.92141164, 0.0], [-2.92141164, 2.92141164, 0.0], [-0.0, -0.0, 8.0957855]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 21, 21, 31, 31]",Ga2Sc2Zn4,"[[2.8435829154236067, 2.8435829154236063, 9.058349261532331e-17], [-2.843582915423607, 2.8435829154236067, 9.058349261532361e-17], [8.289598202381037e-32, 2.685884745733495e-16, 8.710195643450513]]","[[0.49999999999999967, -8.317331057115243e-17, 0.25], [1.5046634295500319e-16, 0.49999999999999983, 0.7499999999999989], [0.4999999999999996, -3.998819232421875e-17, 0.7499999999999989], [1.0728122470806951e-16, 0.4999999999999999, 0.25], [6.759806211803384e-17, 8.441379535853306e-17, 0.4999999999999999], [0.4999999999999998, 0.4999999999999998, -9.555938169907433e-34], [3.8002964369141627e-17, 3.800296436914162e-17, -5.462492522272238e-49], [0.49999999999999983, 0.4999999999999998, 0.5]]","[30, 30, 30, 30, 21, 21, 31, 31]",-3.294292449951172,-0.3458962440490722,0.07542314529418964
23746,ZnTiBi,half,"[[2.96837387, 2.96837387, 0.0], [-2.96837387, 2.96837387, 0.0], [0.0, -0.0, 8.13816519]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 22, 22, 83, 83]","[[2.96837387, 2.96837387, 0.0], [-2.96837387, 2.96837387, 0.0], [0.0, -0.0, 8.13816519]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 22, 22, 83, 83]",Bi2Ti2Zn2,"[[2.8254363475942585, 2.8254363475942585, -2.7922703947792355e-19], [-2.825436347594259, 2.825436347594259, -2.792270394779236e-19], [1.7016071905668505e-38, -9.021665832782014e-19, 9.104954286725473]]","[[0.5000000000000003, 2.884663451277303e-16, 0.24999999999999994], [-1.3691007276542973e-16, 0.5, 0.7499999999999996], [-7.814627590559636e-17, 7.814627590559625e-17, 0.4999999999999999], [0.5000000000000003, 0.5000000000000003, 5.256217103137625e-36], [-1.1220517427191448e-16, 3.7401724757304735e-17, -4.1858006318827475e-52], [0.5000000000000003, 0.5000000000000003, 0.4999999999999999]]","[30, 30, 22, 22, 83, 83]",-4.116779963175456,0.1926684909396705,0.3862068653106687
23842,Zn2VTl,full,"[[2.80787428, 2.80787428, -0.0], [-2.80787428, 2.80787428, 0.0], [0.0, 0.0, 9.01162948]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 23, 23, 81, 81]","[[2.80787428, 2.80787428, -0.0], [-2.80787428, 2.80787428, 0.0], [0.0, 0.0, 9.01162948]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 23, 23, 81, 81]",Tl2V2Zn4,"[[2.787159289432923, 2.7871592894329225, 6.94779290009194e-19], [-2.787159289432923, 2.7871592894329225, 6.9477929000911755e-19], [3.0702811408784356e-31, 2.0892029418891578e-18, 8.82772253910198]]","[[0.5000000000000001, -4.4233141224075277e-17, 0.2499999999999999], [-6.177671547374293e-16, 0.4999999999999996, 0.7499999999999998], [0.5, 1.1090614641064643e-17, 0.7499999999999998], [-6.730909106025692e-16, 0.49999999999999967, 0.2499999999999999], [7.613892317388741e-17, 8.201958592077959e-17, 0.4999999999999998], [0.4999999999999987, 0.5000000000000002, 6.983885757382091e-35], [3.9539627273666725e-17, 3.953962727366683e-17, 8.060081490712335e-51], [0.4999999999999988, 0.5000000000000002, 0.4999999999999998]]","[30, 30, 30, 30, 23, 23, 81, 81]",-3.2061781883239746,0.2778040766716003,0.3071487148602803
25781,Zn2IrGe,full,"[[2.67718088, 2.67718088, 0.0], [-2.67718088, 2.67718088, -0.0], [0.0, 0.0, 8.16925181]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 77, 77, 32, 32]","[[2.67718088, 2.67718088, 0.0], [-2.67718088, 2.67718088, -0.0], [0.0, 0.0, 8.16925181]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[30, 30, 30, 30, 77, 77, 32, 32]",Ge2Ir2Zn4,"[[2.6562327292263292, 2.6562327292263292, 4.62278553381144e-18], [-2.6562327292263292, 2.6562327292263292, 4.622785533810295e-18], [2.119124687063216e-34, 1.446171137580087e-17, 8.288245952625749]]","[[0.5000000000000002, -1.2676975679412207e-16, 0.24999999999999994], [-1.376449537673945e-15, 0.4999999999999991, 0.7499999999999997], [0.5000000000000002, -1.836420191223745e-16, 0.7499999999999997], [-1.3195772753456926e-15, 0.49999999999999906, 0.24999999999999994], [-2.4182481702985255e-17, -1.4169693763982012e-16, 0.4999999999999999], [0.499999999999998, 0.4999999999999995, 1.0089551038589511e-33], [8.2939709671403e-17, 6.121918308192026e-32, -7.892232033630595e-51], [0.49999999999999817, 0.49999999999999967, 0.4999999999999999]]","[30, 30, 30, 30, 77, 77, 32, 32]",-4.077529430389404,-0.1079001426696777,0.13152400930444705
